Protocol,T,AGF,Omega_peak,Energy,PulseArea
quartit_STIRAP,0.5,0.3644198641960611,1.9999718188640583,20.053026197047686,12.096302558759266
quartit_STIRAP,1.0,0.6917846673668266,1.9999718188640583,40.10605239409537,24.192605117518532
quartit_STIRAP,14.5,0.9999959957841522,1.9999718188640583,581.5377597143829,350.79277420401877
quartit_STIRAP,18.5,0.999999985946415,1.9999718188640583,741.9619692907642,447.5631946740928
quartit_alloptical,7.0,0.9999849702397444,2.0194395664343987,308.0786556553221,188.94045070367844
quartit_alloptical,10.0,0.9999892072119003,2.009743427510565,420.8274022819261,258.7134273135273
quartit_alloptical,11.0,0.9999892671343849,2.0080841471007433,459.2362406720216,282.07197317855395
quartit_alloptical,12.0,0.9999899283990399,2.0068304779463224,497.90076517556884,305.4716042871303
quartit_STIRSAP,0.5,0.999981455032106,3.535267035344209,60.03987276950683,18.55197334535812
quartit_STIRSAP,1.0,0.9999532310432565,1.9999718188640583,60.09947568032494,28.426170752710334
quartit_STIRSAP,1.5,0.9999815397273494,1.9999718188640583,73.48802744862786,39.377575921856696
quartit_STIRSAP,7.0,0.9999848595106062,1.9999718188640583,283.5985700852716,170.0760719877526
quartit_STIRSAP,8.0,0.9999850067506649,1.9999718188640583,323.3475970635417,194.1785194798414
quartit_STIRSAP,9.0,0.9999887932419327,1.9999718188640583,363.1759630231062,218.30077497884753
quartit_STIRSAP,10.0,0.9999891998365549,1.9999718188640583,403.05986626957645,242.4369725856772
quartit_STIRSAP,11.0,0.9999892379015568,1.9999718188640583,442.98416027016094,266.58334975716673
quartit_STIRSAP,12.0,0.9999899262996935,1.9999718188640583,482.93874733633004,290.73738373563253
