T,AGF,Omega_peak,Total_Area
2.850000000000000000e+01,9.999898127371043000e-01,2.001186489484051201e+00,3.449963551862222175e+03
2.900000000000000000e+01,9.999647475219521908e-01,2.001143546277567520e+00,3.509752357877488976e+03
2.950000000000000000e+01,9.999826458871593493e-01,2.001102748955572608e+00,3.569553884247941369e+03
3.000000000000000000e+01,9.999824982592127043e-01,2.001063957186327347e+00,3.629367500417306928e+03
3.050000000000000000e+01,9.999845206242147233e-01,2.001027041901527692e+00,3.689192615885021041e+03
3.100000000000000000e+01,9.999807204119173232e-01,2.000991884230142404e+00,3.749028677137788691e+03
3.150000000000000000e+01,9.999731822066542097e-01,2.000958856584890366e+00,3.808875164855196090e+03
3.200000000000000000e+01,9.999914780009124815e-01,2.000928422778318616e+00,3.868731591361200117e+03
3.250000000000000000e+01,9.999764694719527336e-01,2.000899372678225596e+00,3.928597498296934646e+03
3.300000000000000000e+01,9.999907359881493596e-01,2.000871623799714616e+00,3.988472454492738962e+03
3.350000000000000000e+01,9.999616607147967517e-01,2.000845099703393970e+00,4.048356054020242027e+03
3.400000000000000000e+01,9.999947911584724514e-01,2.000819729472405495e+00,4.108247914406758355e+03
3.450000000000000000e+01,9.999684725650987982e-01,2.000795447241239700e+00,4.168147674997000649e+03
3.500000000000000000e+01,9.999946667316169657e-01,2.000772191770606945e+00,4.228054995447932924e+03
3.550000000000000000e+01,9.999527393243795581e-01,2.000749906063715500e+00,4.287969554344655990e+03
3.600000000000000000e+01,9.999944298375267326e-01,2.000728537018690023e+00,4.347891047926130341e+03
3.650000000000000000e+01,9.999645638315772800e-01,2.000708035114115990e+00,4.407819188910925732e+03
3.700000000000000000e+01,9.999950898748979355e-01,2.000688354123577817e+00,4.467753705413852913e+03
3.750000000000000000e+01,9.999509124643980451e-01,2.000669450856356502e+00,4.527694339945785941e+03
3.800000000000000000e+01,9.999929920825998408e-01,2.000651284921407758e+00,4.587640848489119890e+03
3.850000000000000000e+01,9.999671623226715766e-01,2.000633818513075646e+00,4.647592999642530231e+03
3.900000000000000000e+01,9.999944103370932424e-01,2.000617016214933930e+00,4.707550573829075802e+03
3.950000000000000000e+01,9.999574563384134862e-01,2.000600844821370128e+00,4.767513362562239308e+03
4.000000000000000000e+01,9.999912812369109449e-01,2.000585273173796974e+00,4.827481167765258760e+03
4.050000000000000000e+01,9.999752475331646906e-01,2.000570272011570783e+00,4.887453801139097777e+03
4.100000000000000000e+01,9.999930515811883414e-01,2.000555813835170227e+00,4.947431083575328557e+03
4.150000000000000000e+01,9.999695466499571861e-01,2.000541872780229991e+00,5.007412844610214961e+03
4.200000000000000000e+01,9.999880414553861119e-01,2.000528424502967528e+00,5.067398921916606014e+03
4.250000000000000000e+01,9.999850197991962952e-01,2.000515446073402259e+00,5.127389160830824039e+03
4.300000000000000000e+01,9.999899563286274162e-01,2.000502915879001087e+00,5.187383413911730713e+03
4.350000000000000000e+01,9.999821594844672257e-01,2.000490813534294698e+00,5.247381540529397171e+03
4.400000000000000000e+01,9.999818187960286542e-01,2.000479119798950656e+00,5.307383406481264501e+03
4.450000000000000000e+01,9.999924598594741587e-01,2.000467816500749230e+00,5.367388883633600926e+03
4.500000000000000000e+01,9.999845523792533220e-01,2.000456886465590500e+00,5.427397849586399388e+03
4.550000000000000000e+01,9.999911675641657283e-01,2.000446313452759028e+00,5.487410187359916563e+03
4.600000000000000000e+01,9.999731301228550473e-01,2.000436082094369183e+00,5.547425785101366273e+03
4.650000000000000000e+01,9.999957430336733344e-01,2.000426177840088915e+00,5.607444535810120215e+03
4.700000000000000000e+01,9.999782194351979348e-01,2.000416586905108485e+00,5.667466337080274570e+03
4.750000000000000000e+01,9.999953710555423703e-01,2.000407296222844966e+00,5.727491090859236465e+03
4.800000000000000000e+01,9.999649874056325549e-01,2.000398293399982652e+00,5.787518703221101532e+03
4.850000000000000000e+01,9.999957469441504987e-01,2.000389566675836672e+00,5.847549084153997683e+03
4.900000000000000000e+01,9.999738845835655088e-01,2.000381104883556471e+00,5.907582147360253657e+03
4.950000000000000000e+01,9.999962061520190071e-01,2.000372897415005902e+00,5.967617810068525614e+03
5.000000000000000000e+01,9.999612443332441813e-01,2.000364934187206067e+00,6.027655992857145065e+03
5.050000000000000000e+01,9.999945274624273406e-01,2.000357205611622113e+00,6.087696619487833232e+03
5.100000000000000000e+01,9.999740586248659913e-01,2.000349702565308530e+00,6.147739616749142442e+03
5.150000000000000000e+01,9.999957625304869424e-01,2.000342416364110143e+00,6.207784914308956104e+03
5.200000000000000000e+01,9.999640387615759130e-01,2.000335338737585289e+00,6.267832444575408772e+03
5.250000000000000000e+01,9.999932380368290463e-01,2.000328461805597868e+00,6.327882142565810682e+03
5.300000000000000000e+01,9.999789624576538305e-01,2.000321778056377564e+00,6.387933945782830051e+03
5.350000000000000000e+01,9.999949340344003179e-01,2.000315280326160572e+00,6.447987794097671213e+03
5.400000000000000000e+01,9.999723147035908255e-01,2.000308961779941441e+00,6.508043629639761093e+03
5.450000000000000000e+01,9.999912698597487326e-01,2.000302815893642894e+00,6.568101396692371964e+03
5.500000000000000000e+01,9.999862843491257314e-01,2.000296836437228443e+00,6.628161041594030394e+03
5.550000000000000000e+01,9.999931340283261250e-01,2.000291017458895482e+00,6.688222512645240386e+03
5.600000000000000000e+01,9.999825231873866738e-01,2.000285353270450983e+00,6.748285760020143243e+03
5.650000000000000000e+01,9.999872222081969131e-01,2.000279838433400403e+00,6.808350735682928644e+03
5.700000000000000000e+01,9.999927427085598675e-01,2.000274467745785767e+00,6.868417393308617648e+03
5.750000000000000000e+01,9.999895518380462756e-01,2.000269236230081571e+00,6.928485688207994826e+03
5.800000000000000000e+01,9.999908864816994258e-01,2.000264139121750606e+00,6.988555577256432116e+03
5.850000000000000000e+01,9.999807455252414101e-01,2.000259171858088436e+00,7.048627018826372478e+03
5.900000000000000000e+01,9.999961917657678168e-01,2.000254330068437447e+00,7.108699972723234168e+03
5.950000000000000000e+01,9.999846288071394529e-01,2.000249609564350717e+00,7.168774400124575550e+03
6.000000000000000000e+01,9.999955088297858286e-01,2.000245006330622743e+00,7.228850263522358546e+03
6.050000000000000000e+01,9.999735787276018417e-01,2.000240516516742950e+00,7.288927526667972415e+03
6.100000000000000000e+01,9.999966638932586971e-01,2.000236136428874101e+00,7.349006154520075142e+03
6.150000000000000000e+01,9.999803466268927243e-01,2.000231862522266368e+00,7.409086113194973223e+03
6.200000000000000000e+01,9.999968800051247664e-01,2.000227691394061758e+00,7.469167369919378871e+03
6.250000000000000000e+01,9.999688342527515150e-01,2.000223619776652306e+00,7.529249892985482802e+03
6.300000000000000000e+01,9.999956778734695462e-01,2.000219644531126661e+00,7.589333651708157959e+03
6.350000000000000000e+01,9.999790316056046402e-01,2.000215762641352590e+00,7.649418616384207780e+03
6.400000000000000000e+01,9.999966863956286645e-01,2.000211971208165185e+00,7.709504758253551699e+03
6.450000000000000000e+01,9.999690211141676333e-01,2.000208267444059995e+00,7.769592049462206887e+03
6.500000000000000000e+01,9.999945629128651481e-01,2.000204648668078455e+00,7.829680463026979851e+03
6.550000000000000000e+01,9.999816580693382528e-01,2.000201112300840300e+00,7.889769972801838776e+03
6.600000000000000000e+01,9.999961145789402206e-01,2.000197655860124879e+00,7.949860553445758342e+03
6.650000000000000000e+01,9.999743323219490998e-01,2.000194276956347661e+00,8.009952180392117043e+03
6.700000000000000000e+01,9.999932833687509293e-01,2.000190973288585639e+00,8.070044829819360530e+03
6.750000000000000000e+01,9.999870569152224942e-01,2.000187742640572530e+00,8.130138478623068295e+03
6.800000000000000000e+01,9.999950618866424445e-01,2.000184582877030159e+00,8.190233104389252730e+03
6.850000000000000000e+01,9.999824865184843148e-01,2.000181491940131284e+00,8.250328685368807783e+03
6.900000000000000000e+01,9.999907085765353809e-01,2.000178467846160046e+00,8.310425200453089928e+03
6.950000000000000000e+01,9.999926783239599937e-01,2.000175508682306091e+00,8.370522629150569628e+03
7.000000000000000000e+01,9.999927592106556684e-01,2.000172612603710931e+00,8.430620951564498682e+03
7.050000000000000000e+01,9.999902172688541757e-01,2.000169777830510753e+00,8.490720148371528921e+03
7.100000000000000000e+01,9.999860148081861633e-01,2.000167002645178549e+00,8.550820200801237661e+03
7.150000000000000000e+01,9.999962889264537580e-01,2.000164285389868013e+00,8.610921090616535366e+03
7.200000000000000000e+01,9.999890564017036576e-01,2.000161624463985266e+00,8.671022800094871855e+03
7.250000000000000000e+01,9.999952278017214535e-01,2.000159018321819193e+00,8.731125312010293783e+03
7.300000000000000000e+01,9.999799556414583623e-01,2.000156465470281919e+00,8.791228609616138783e+03
7.350000000000000000e+01,9.999972716376855919e-01,2.000153964466807821e+00,8.851332676628544505e+03
7.400000000000000000e+01,9.999851343928287672e-01,2.000151513917303614e+00,8.911437497210588845e+03
7.450000000000000000e+01,9.999972077714224250e-01,2.000149112474170821e+00,8.971543055957075921e+03
7.500000000000000000e+01,9.999748501305439907e-01,2.000146758834532967e+00,9.031649337879949599e+03
7.550000000000000000e+01,9.999965843023014278e-01,2.000144451738361973e+00,9.091756328394278171e+03
7.600000000000000000e+01,9.999829583299664204e-01,2.000142189966914952e+00,9.151864013304817490e+03
7.650000000000000000e+01,9.999973421128988127e-01,2.000139972341049788e+00,9.211972378793092503e+03
7.700000000000000000e+01,9.999732267727464707e-01,2.000137797719708566e+00,9.272081411404988103e+03
7.750000000000000000e+01,9.999955520422355582e-01,2.000135664998452967e+00,9.332191098038840209e+03
7.800000000000000000e+01,9.999839009008288926e-01,2.000133573108048513e+00,9.392301425933968858e+03
7.850000000000000000e+01,9.999969185618514667e-01,2.000131521013178926e+00,9.452412382659666036e+03
7.900000000000000000e+01,9.999761277293621742e-01,2.000129507711098320e+00,9.512523956104636454e+03
7.950000000000000000e+01,9.999945991800970324e-01,2.000127532230421501e+00,9.572636134466765725e+03
8.000000000000000000e+01,9.999876736425823420e-01,2.000125593629994647e+00,9.632748906243345118e+03
8.050000000000000000e+01,9.999962686201936402e-01,2.000123690997734016e+00,9.692862260221658289e+03
8.100000000000000000e+01,9.999823805416665490e-01,2.000121823449592107e+00,9.752976185469877237e+03
8.150000000000000000e+01,9.999929817738578697e-01,2.000119990128496728e+00,9.813090671328340250e+03
8.200000000000000000e+01,9.999924577664407455e-01,2.000118190203377999e+00,9.873205707401153632e+03
8.250000000000000000e+01,9.999948400860318998e-01,2.000116422868252197e+00,9.933321283548048086e+03
8.300000000000000000e+01,9.999893590307618041e-01,2.000114687341190134e+00,9.993437389876611633e+03
8.350000000000000000e+01,9.999897059760360918e-01,2.000112982863790023e+00,1.005355401673474080e+04
8.400000000000000000e+01,9.999961314831853354e-01,2.000111308699871415e+00,1.011367115470339922e+04
8.450000000000000000e+01,9.999921708543206833e-01,2.000109664135080845e+00,1.017378879458963092e+04
8.500000000000000000e+01,9.999946265456518546e-01,2.000108048475941924e+00,1.023390692741981547e+04
8.550000000000000000e+01,9.999847989828900552e-01,2.000106461049164341e+00,1.029402554443316512e+04
8.600000000000000000e+01,9.999976127445393548e-01,2.000104901200943530e+00,1.035414463707544201e+04
8.650000000000000000e+01,9.999887962527183038e-01,2.000103368296287876e+00,1.041426419699292819e+04
8.700000000000000000e+01,9.999972288587972713e-01,2.000101861718333041e+00,1.047438421602659218e+04
8.750000000000000000e+01,9.999797988730089182e-01,2.000100380867870342e+00,1.053450468620639913e+04
8.800000000000000000e+01,9.999972988331207180e-01,2.000098925162544283e+00,1.059462559974593569e+04
8.850000000000000000e+01,9.999862173408781141e-01,2.000097494036389367e+00,1.065474694903710588e+04
8.900000000000000000e+01,9.999977860724607037e-01,2.000096086939315398e+00,1.071486872664506882e+04
8.950000000000000000e+01,9.999769940380784927e-01,2.000094703336462665e+00,1.077499092530335656e+04
9.000000000000000000e+01,9.999963550844628291e-01,2.000093342707821797e+00,1.083511353790909016e+04
9.050000000000000000e+01,9.999859336598037052e-01,2.000092004547680880e+00,1.089523655751844126e+04
9.100000000000000000e+01,9.999975081485301676e-01,2.000090688364151603e+00,1.095535997734217199e+04
9.150000000000000000e+01,9.999779409578863909e-01,2.000089393678735394e+00,1.101548379074139848e+04
9.200000000000000000e+01,9.999955201210146694e-01,2.000088120025866889e+00,1.107560799122340541e+04
9.250000000000000000e+01,9.999883024574313106e-01,2.000086866952558218e+00,1.113573257243766238e+04
9.300000000000000000e+01,9.999970570673502035e-01,2.000085634017905623e+00,1.119585752817195862e+04
9.350000000000000000e+01,9.999823983368660851e-01,2.000084420792746176e+00,1.125598285234865034e+04
9.400000000000000000e+01,9.999944744054612977e-01,2.000083226859326047e+00,1.131610853902103554e+04
