epsilon,gamma_t,AGF
-9.183673469387755584e-02,1.676832936811009972e-05,9.986408927545743497e-01
-9.183673469387755584e-02,2.120950887920192640e-05,9.986370202110599337e-01
-9.183673469387755584e-02,2.682695795279727390e-05,9.986321340297998894e-01
-9.183673469387755584e-02,3.393221771895329857e-05,9.986259493698522727e-01
-9.183673469387755584e-02,4.291934260128778017e-05,9.986181258727663268e-01
-9.183673469387755584e-02,5.428675439323859403e-05,9.986082403698384180e-01
-9.183673469387755584e-02,6.866488450042998925e-05,9.985957294415150898e-01
-9.183673469387755584e-02,8.685113737513520580e-05,9.985799018828021012e-01
-9.183673469387755584e-02,1.098541141987558346e-04,9.985598852249937263e-01
-9.183673469387755584e-02,1.389495494373137348e-04,9.985345696438271412e-01
-9.183673469387755584e-02,1.757510624854793067e-04,9.985025513332012048e-01
-9.183673469387755584e-02,2.222996482526195465e-04,9.984620553284209166e-01
-9.183673469387755584e-02,2.811768697974231118e-04,9.984108295723679305e-01
-9.183673469387755584e-02,3.556480306223128661e-04,9.983460561118384646e-01
-9.183673469387755584e-02,4.498432668969443876e-04,9.982641374796081823e-01
-9.183673469387755584e-02,5.689866029018298636e-04,9.981605326763505204e-01
-9.183673469387755584e-02,7.196856730011521675e-04,9.980295170405463212e-01
-9.183673469387755584e-02,9.102981779915217267e-04,9.978638576560081574e-01
-9.183673469387755584e-02,1.151395399326448146e-03,9.976543888783723224e-01
-9.183673469387755584e-02,1.456348477501244378e-03,9.973895543625523885e-01
-9.183673469387755584e-02,1.842069969326716331e-03,9.970547777464223715e-01
-9.183673469387755584e-02,2.329951810515372077e-03,9.966316280208451506e-01
-9.183673469387755584e-02,2.947051702551809708e-03,9.960968971689464491e-01
-9.183673469387755584e-02,3.727593720314941773e-03,9.954213037801671327e-01
-9.183673469387755584e-02,4.714866363457394238e-03,9.945680196610144908e-01
-9.183673469387755584e-02,5.963623316594642357e-03,9.934906994022647542e-01
-9.183673469387755584e-02,7.543120063354623143e-03,9.921311948196002151e-01
-9.183673469387755584e-02,9.540954763499944619e-03,9.904166323113627879e-01
-9.183673469387755584e-02,1.206792640639328847e-02,9.882559499990292151e-01
-9.183673469387755584e-02,1.526417967175233356e-02,9.855357124900840926e-01
-9.183673469387755584e-02,1.930697728883249559e-02,9.821152044731392694e-01
-9.183673469387755584e-02,2.442053094548649744e-02,9.778207995618246606e-01
-9.183673469387755584e-02,3.088843596477484910e-02,9.724397150284026514e-01
