T,AGF,Avg_Leakage
8.200000000000000000e+01,9.999924624232253700e-01,7.537513235122972333e-06
8.250000000000000000e+01,9.999948425443573319e-01,5.157399478705748663e-06
8.300000000000000000e+01,9.999893589362937041e-01,1.064091655000876102e-05
8.350000000000000000e+01,9.999897051894361955e-01,1.029459292867240805e-05
8.400000000000000000e+01,9.999961337318439281e-01,3.866252260786851025e-06
8.450000000000000000e+01,9.999921744653524902e-01,7.825425574647937310e-06
8.500000000000000000e+01,9.999946264054878631e-01,5.373557422139185746e-06
8.550000000000000000e+01,9.999847977329938686e-01,1.520190197190629533e-05
8.600000000000000000e+01,9.999976128301917289e-01,2.387162779116103195e-06
8.650000000000000000e+01,9.999888014189390884e-01,1.119839846952519480e-05
8.700000000000000000e+01,9.999972296808972150e-01,2.770309292632333609e-06
8.750000000000000000e+01,9.999797983087402864e-01,2.020112889788983068e-05
8.800000000000000000e+01,9.999972985952044757e-01,2.701397857407528136e-06
8.850000000000000000e+01,9.999862243686402641e-01,1.377538023850100046e-05
8.900000000000000000e+01,9.999977873800525163e-01,2.212614377716803915e-06
8.950000000000000000e+01,9.999769936250894053e-01,2.300567279522880426e-05
9.000000000000000000e+01,9.999963541573725356e-01,3.645830684351203388e-06
9.050000000000000000e+01,9.999859404824436027e-01,1.405926638908816528e-05
9.100000000000000000e+01,9.999975093783100011e-01,2.490616220485186716e-06
9.150000000000000000e+01,9.999779413904079650e-01,2.205796798260273306e-05
9.200000000000000000e+01,9.999955196115472011e-01,4.480358916758575560e-06
9.250000000000000000e+01,9.999883084493426111e-01,1.169138392120849801e-05
9.300000000000000000e+01,9.999970586296363928e-01,2.941359223296302616e-06
9.350000000000000000e+01,9.999823977715298629e-01,1.760182177790170499e-05
9.400000000000000000e+01,9.999944741547533988e-01,5.525773858372495795e-06
9.450000000000000000e+01,9.999922131861934682e-01,7.786745245708104335e-06
9.500000000000000000e+01,9.999961921099496109e-01,3.807859930482493382e-06
9.550000000000000000e+01,9.999884628079449556e-01,1.153701937772755315e-05
9.600000000000000000e+01,9.999922809309577110e-01,7.718931341660351109e-06
9.650000000000000000e+01,9.999958023642147031e-01,4.197617678447507217e-06
9.700000000000000000e+01,9.999943617046849198e-01,5.638232442262136601e-06
9.750000000000000000e+01,9.999937926752862083e-01,6.207275466074690939e-06
9.800000000000000000e+01,9.999884868474488986e-01,1.151292055601160769e-05
9.850000000000000000e+01,9.999977142777914940e-01,2.285716066863230367e-06
9.900000000000000000e+01,9.999916204761424288e-01,8.379414067727353199e-06
9.950000000000000000e+01,9.999969665490435755e-01,3.033439229804812953e-06
1.000000000000000000e+02,9.999839193740752696e-01,1.608025576860239170e-05
1.005000000000000000e+02,9.999978337416400853e-01,2.166253366908676981e-06
1.010000000000000000e+02,9.999889820168619270e-01,1.101781873114049404e-05
1.015000000000000000e+02,9.999980307568193671e-01,1.969238413668250587e-06
1.020000000000000000e+02,9.999804519823658477e-01,1.954750841592911570e-05
1.025000000000000000e+02,9.999970396142214835e-01,2.960378384875284041e-06
