T,AGF,Avg_Leakage,Unitary_Error
6.300000000000000000e+01,9.999780873892423205e-01,2.191245373608929903e-05,3.911782351861958773e-05
6.350000000000000000e+01,9.999916208829497943e-01,8.379049845408381714e-06,1.835177990228142875e-05
6.400000000000000000e+01,9.999997685349851784e-01,2.314649652224165521e-07,6.013666371540438149e-07
6.450000000000000000e+01,9.999842954540255624e-01,1.570430887620766214e-05,3.684048762475633509e-05
6.500000000000000000e+01,9.999764020530339526e-01,2.359774006516213163e-05,4.352111566086058758e-05
6.550000000000000000e+01,9.999909333881097373e-01,9.066517528633077916e-06,1.851651260253994735e-05
6.600000000000000000e+01,9.999989140135789878e-01,1.085985564669433856e-06,2.562372227732367946e-06
6.650000000000000000e+01,9.999889062401690065e-01,1.109363428947185426e-05,2.527318296841052359e-05
6.700000000000000000e+01,9.999754502515187937e-01,2.454937910226218101e-05,5.458021957416292480e-05
6.750000000000000000e+01,9.999900480224542809e-01,9.951859645529470555e-06,1.998155871008044926e-05
6.800000000000000000e+01,9.999977438180774891e-01,2.256179606585639874e-06,4.518758656146815156e-06
6.850000000000000000e+01,9.999929887041002496e-01,7.011247097316042343e-06,1.617826464883620474e-05
6.900000000000000000e+01,9.999754699162283211e-01,2.452956451332033438e-05,6.177564095632970265e-05
6.950000000000000000e+01,9.999888392386232505e-01,1.116063133291267384e-05,2.372727087562864767e-05
7.000000000000000000e+01,9.999965396416075070e-01,3.460354616596772459e-06,5.633167618812606747e-06
7.050000000000000000e+01,9.999962316889632330e-01,3.768298054263041763e-06,9.122288863405714210e-06
7.100000000000000000e+01,9.999765698824812921e-01,2.342959040335657050e-05,6.240921002209631752e-05
7.150000000000000000e+01,9.999872778554934616e-01,1.272201085364410567e-05,2.876174702914902070e-05
7.200000000000000000e+01,9.999954828531023576e-01,4.517138597420755630e-06,9.143335825800846806e-06
7.250000000000000000e+01,9.999984670834030087e-01,1.532914519014605403e-06,3.932538873208102359e-06
7.300000000000000000e+01,9.999787071140922023e-01,2.129246799367767728e-05,5.654803453891688036e-05
7.350000000000000000e+01,9.999854487256950586e-01,1.455114910284271978e-05,3.249255991133459531e-05
7.400000000000000000e+01,9.999946387558413807e-01,5.361226026345811135e-06,1.208272534580778768e-05
7.450000000000000000e+01,9.999996813856120159e-01,3.186142935596159020e-07,8.495272568742606722e-07
7.500000000000000000e+01,9.999816941760627520e-01,1.830552802234430843e-05,4.654004815907164527e-05
7.550000000000000000e+01,9.999835406373458468e-01,1.645926017271315267e-05,3.232222218674252190e-05
7.600000000000000000e+01,9.999939651729323753e-01,6.034795640680323814e-06,1.355079091336364172e-05
7.650000000000000000e+01,9.999999967723610661e-01,3.227638850633596235e-09,8.560110176247803793e-09
7.700000000000000000e+01,9.999852271902408551e-01,1.477260755711196083e-05,3.542532700473444152e-05
7.750000000000000000e+01,9.999818106388914662e-01,1.818925439048268977e-05,3.065872184260243216e-05
7.800000000000000000e+01,9.999933444719406594e-01,6.655480374540001520e-06,1.397644272127518406e-05
7.850000000000000000e+01,9.999996314127660435e-01,3.685871212411040432e-07,9.138516499085369560e-07
7.900000000000000000e+01,9.999889403390940235e-01,1.105953819452443199e-05,2.539184605299116271e-05
7.950000000000000000e+01,9.999805363579863382e-01,1.946345411985017648e-05,4.021403317988614390e-05
8.000000000000000000e+01,9.999926278520347989e-01,7.372082856393902262e-06,1.475496101133177973e-05
8.050000000000000000e+01,9.999988468165836863e-01,1.153182663221619109e-06,2.495698910198740350e-06
8.100000000000000000e+01,9.999924640366308903e-01,7.535905704680878614e-06,1.720378167147096349e-05
8.150000000000000000e+01,9.999799613807794918e-01,2.003831043245751786e-05,4.826379229283528360e-05
8.200000000000000000e+01,9.999916875414477380e-01,8.312380955610709776e-06,1.714586809609119911e-05
8.250000000000000000e+01,9.999978930103028407e-01,2.106988155087252679e-06,3.754263770194832261e-06
8.300000000000000000e+01,9.999954807138136115e-01,4.519266831398693895e-06,1.068746620425109484e-05
8.350000000000000000e+01,9.999802460724446229e-01,1.975356047151377581e-05,5.178716004750061330e-05
8.400000000000000000e+01,9.999904546049320775e-01,9.545311119629751317e-06,2.113207942622263857e-05
8.450000000000000000e+01,9.999969630680156651e-01,3.036928826444240670e-06,5.641618841978335297e-06
8.500000000000000000e+01,9.999977727329449895e-01,2.227262659360018660e-06,5.577922130184376215e-06
8.550000000000000000e+01,9.999814353092268959e-01,1.856436445749065633e-05,4.967492803453765760e-05
8.600000000000000000e+01,9.999889488704777341e-01,1.105104485346619647e-05,2.511960476536678755e-05
8.650000000000000000e+01,9.999961644165651364e-01,3.835575649563383038e-06,8.383771952669150096e-06
8.700000000000000000e+01,9.999992441020468803e-01,7.558974354227032677e-07,1.990682714225755490e-06
8.750000000000000000e+01,9.999834473859998685e-01,1.655236976524920856e-05,4.302432099989594860e-05
8.800000000000000000e+01,9.999872820213461244e-01,1.271790435303232769e-05,2.680398691567997815e-05
8.850000000000000000e+01,9.999955116382812648e-01,4.488346294823086780e-06,1.020956890751545387e-05
8.900000000000000000e+01,9.999999216193306006e-01,7.838066343190952523e-08,2.096788280780970126e-07
8.950000000000000000e+01,9.999860867328281833e-01,1.391309326734258001e-05,3.420500311290819440e-05
