T,AGF,Avg_Leakage
5.150000000000000000e+01,9.999987526284670469e-01,1.247368140777638246e-06
5.200000000000000000e+01,9.999458536504113315e-01,5.414201934539342176e-05
5.250000000000000000e+01,9.999671297920972313e-01,3.286819317116496109e-05
5.300000000000000000e+01,9.999868738898550768e-01,1.312590933277846261e-05
5.350000000000000000e+01,9.999973508884227869e-01,2.649096355389346513e-06
5.400000000000000000e+01,9.999636830299435397e-01,3.631501989720398171e-05
5.450000000000000000e+01,9.999669985225356772e-01,3.299901172482133660e-05
5.500000000000000000e+01,9.999851985347983918e-01,1.480124461572529526e-05
5.550000000000000000e+01,9.999953823583036527e-01,4.617608180934595907e-06
5.600000000000000000e+01,9.999805037235279803e-01,1.949571582060549702e-05
5.650000000000000000e+01,9.999618035869252131e-01,3.819346633582298978e-05
5.700000000000000000e+01,9.999808667984149135e-01,1.913297564892779690e-05
5.750000000000000000e+01,9.999928432736713280e-01,7.156674139863206108e-06
5.800000000000000000e+01,9.999922996852997903e-01,7.700227222628974744e-06
5.850000000000000000e+01,9.999532842796732268e-01,4.671207422646261875e-05
5.900000000000000000e+01,9.999758108583872707e-01,2.418881270549455564e-05
5.950000000000000000e+01,9.999905250907964449e-01,9.474845273471643736e-06
6.000000000000000000e+01,9.999982330698873323e-01,1.766925383339668088e-06
6.050000000000000000e+01,9.999460012262597619e-01,5.399435924213769056e-05
6.100000000000000000e+01,9.999726374134489948e-01,2.736205098052835183e-05
6.150000000000000000e+01,9.999894454254547593e-01,1.055451204756696626e-05
6.200000000000000000e+01,9.999999511750111703e-01,4.882498472191798555e-08
6.250000000000000000e+01,9.999445713160236560e-01,5.542415022863345087e-05
6.300000000000000000e+01,9.999725822294379673e-01,2.741699980868261832e-05
6.350000000000000000e+01,9.999898011386296748e-01,1.019879683950009053e-05
6.400000000000000000e+01,9.999997143111004627e-01,2.856887335589419763e-07
6.450000000000000000e+01,9.999509034921387762e-01,4.909295227928378580e-05
6.500000000000000000e+01,9.999744125608429623e-01,2.558640393490740905e-05
6.550000000000000000e+01,9.999905172956775612e-01,9.482613232858483343e-06
6.600000000000000000e+01,9.999988794019951666e-01,1.120595162218407381e-06
6.650000000000000000e+01,9.999632207861713917e-01,3.677721367756348059e-05
6.700000000000000000e+01,9.999751831585831363e-01,2.481550221355988128e-05
6.750000000000000000e+01,9.999899646291975364e-01,1.003525373566294121e-05
6.800000000000000000e+01,9.999976615830693527e-01,2.338406784208046929e-06
6.850000000000000000e+01,9.999773227482560145e-01,2.267649214926503731e-05
6.900000000000000000e+01,9.999723888984377584e-01,2.760944252544472732e-05
6.950000000000000000e+01,9.999872794481271532e-01,1.272043073785589229e-05
7.000000000000000000e+01,9.999959163833398446e-01,4.083596312765003233e-06
7.050000000000000000e+01,9.999890580222142722e-01,1.094180136240741064e-05
7.100000000000000000e+01,9.999659475070791226e-01,3.405040884096877107e-05
7.150000000000000000e+01,9.999832081969918240e-01,1.679164815082678786e-05
7.200000000000000000e+01,9.999939447254352354e-01,6.055244537894743928e-06
7.250000000000000000e+01,9.999963150356225849e-01,3.684944149262570079e-06
7.300000000000000000e+01,9.999585968468995834e-01,4.140047974132698982e-05
7.350000000000000000e+01,9.999796724049166974e-01,2.032733336954084535e-05
7.400000000000000000e+01,9.999925188209772831e-01,7.481144995491462169e-06
7.450000000000000000e+01,9.999994088130671477e-01,5.911863777408044029e-07
7.500000000000000000e+01,9.999543447486034520e-01,4.565215812757372760e-05
7.550000000000000000e+01,9.999783006949330977e-01,2.169889588610196540e-05
7.600000000000000000e+01,9.999921911899273264e-01,7.808776109063941817e-06
7.650000000000000000e+01,9.999999955327721901e-01,4.467227809890061963e-09
7.700000000000000000e+01,9.999560766623197816e-01,4.392049449630786029e-05
7.750000000000000000e+01,9.999790598314012291e-01,2.093959281324053734e-05
7.800000000000000000e+01,9.999926111864085865e-01,7.388768975435944242e-06
7.850000000000000000e+01,9.999995975679191185e-01,4.024317208362049314e-07
7.900000000000000000e+01,9.999638742318179840e-01,3.612383961337783944e-05
7.950000000000000000e+01,9.999800847747255528e-01,1.991444748594695113e-05
8.000000000000000000e+01,9.999926168089319223e-01,7.383126072180168364e-06
8.050000000000000000e+01,9.999988330803939451e-01,1.166916738015721933e-06
8.100000000000000000e+01,9.999751145406721164e-01,2.488454369808934530e-05
8.150000000000000000e+01,9.999789527695114311e-01,2.104622824972146589e-05
8.200000000000000000e+01,9.999911203394862280e-01,8.879586612442480487e-06
8.250000000000000000e+01,9.999976634865914704e-01,2.336505368183416920e-06
8.300000000000000000e+01,9.999861200729125432e-01,1.387964300492150471e-05
8.350000000000000000e+01,9.999745345995603163e-01,2.546413008386316790e-05
8.400000000000000000e+01,9.999880875800257751e-01,1.191233654096457428e-05
8.450000000000000000e+01,9.999961162128598868e-01,3.883772659252215931e-06
8.500000000000000000e+01,9.999941411691140036e-01,5.858780157463883143e-06
8.550000000000000000e+01,9.999680570221954889e-01,3.194130914019321921e-05
8.600000000000000000e+01,9.999847152967340502e-01,1.528456879995587769e-05
8.650000000000000000e+01,9.999946652963215277e-01,5.334684295199565440e-06
8.700000000000000000e+01,9.999984223470737010e-01,1.577649121342616922e-06
8.750000000000000000e+01,9.999625879532111350e-01,3.740994256884455638e-05
8.800000000000000000e+01,9.999825907038371042e-01,1.740906891156690506e-05
8.850000000000000000e+01,9.999939201919776366e-01,6.079787609025721906e-06
