T,AGF,Avg_Leakage,Unitary_Error
1.200000000000000000e+01,9.999899293661561606e-01,1.007053372822919179e-05,2.019907243266949592e-05
1.250000000000000000e+01,9.999697531844787823e-01,3.024598411932588604e-05,6.698672479721334838e-05
1.300000000000000000e+01,9.999870056536804830e-01,1.299425616918536974e-05,2.644765897374945496e-05
1.350000000000000000e+01,9.999786348297220462e-01,2.136477148170778939e-05,4.848043587402095511e-05
1.400000000000000000e+01,9.999884477635125890e-01,1.155216001752501498e-05,2.574545462596944390e-05
1.450000000000000000e+01,9.999756699341023625e-01,2.432954020076261159e-05,5.785676061109690238e-05
1.500000000000000000e+01,9.999835010039397343e-01,1.649881188597879245e-05,4.078140436525323764e-05
1.550000000000000000e+01,9.999837058710990823e-01,1.629390925242391042e-05,4.135098036428530577e-05
1.600000000000000000e+01,9.999859506465655912e-01,1.404919785033542645e-05,3.694525997921527249e-05
1.650000000000000000e+01,9.999818059188060326e-01,1.819379134457288494e-05,4.871830473329730182e-05
1.700000000000000000e+01,9.999798865935680681e-01,2.011302636314993286e-05,5.403925754121630121e-05
1.750000000000000000e+01,9.999882744759055475e-01,1.172540412117117903e-05,3.311012643680832923e-05
1.800000000000000000e+01,9.999835610904028727e-01,1.643864822653551272e-05,4.496355023442255572e-05
1.850000000000000000e+01,9.999871929200162546e-01,1.280692640515113112e-05,3.726434565987091219e-05
1.900000000000000000e+01,9.999772365393944096e-01,2.276298350376015911e-05,6.001980676384466307e-05
1.950000000000000000e+01,9.999915295534694826e-01,8.470374787433732067e-06,2.335293318833642218e-05
2.000000000000000000e+01,9.999821281534172490e-01,1.787156658986099877e-05,4.613450171409017031e-05
2.050000000000000000e+01,9.999910641714155890e-01,8.935748754879124789e-06,2.469474896904522154e-05
2.100000000000000000e+01,9.999761862652365441e-01,2.381328148057249017e-05,5.801305787045407669e-05
2.150000000000000000e+01,9.999930192489548952e-01,6.980693327995890485e-06,1.503414359405041978e-05
2.200000000000000000e+01,9.999820918817159399e-01,1.790786882538419889e-05,4.177098576363391658e-05
2.250000000000000000e+01,9.999930958211246113e-01,6.904122933554246444e-06,1.498064025029499646e-05
2.300000000000000000e+01,9.999769646236821297e-01,2.303496247954561760e-05,5.148097104246129874e-05
2.350000000000000000e+01,9.999927109341587572e-01,7.289014271494309583e-06,1.586084372084961558e-05
2.400000000000000000e+01,9.999834776812498438e-01,1.652210368913165084e-05,3.566843524538398924e-05
2.450000000000000000e+01,9.999933678514686397e-01,6.632104993103959956e-06,1.386021718929875135e-05
2.500000000000000000e+01,9.999793670538961177e-01,2.063259203810563491e-05,4.458093075065949762e-05
2.550000000000000000e+01,9.999909476128914232e-01,9.052347576254948791e-06,1.703251339679745513e-05
2.600000000000000000e+01,9.999859482087114504e-01,1.405163385251317898e-05,3.062295704991946366e-05
2.650000000000000000e+01,9.999923053867896261e-01,7.694581869555072728e-06,1.587795230362232246e-05
2.700000000000000000e+01,9.999828765245493134e-01,1.712322942154509420e-05,3.903600289101305520e-05
2.750000000000000000e+01,9.999883408875793744e-01,1.165903147712366028e-05,2.706265518626072009e-05
2.800000000000000000e+01,9.999889292561618959e-01,1.107065108843507950e-05,2.672166886275029185e-05
2.850000000000000000e+01,9.999905378446113380e-01,9.462092909556796272e-06,2.360830682968106942e-05
2.900000000000000000e+01,9.999867983505879021e-01,1.320150589964597110e-05,3.380634636740431631e-05
2.950000000000000000e+01,9.999856155340498542e-01,1.438427943911690932e-05,3.738459981661446108e-05
3.000000000000000000e+01,9.999917647903162621e-01,8.235155539382255085e-06,2.238379845498350562e-05
3.050000000000000000e+01,9.999887435228933530e-01,1.125635685783610285e-05,3.021962183535897850e-05
3.100000000000000000e+01,9.999904323395293337e-01,9.567579424718530845e-06,2.716345413378284945e-05
