t, Stokes_half_amp, Pump1_half_amp, Pump2_half_amp
9.529529529529529697e+00,-1.067824668761305565e-02,3.541342718103198826e-07,-3.541342718103198826e-07
9.609609609609609748e+00,-1.332887688549271206e-02,3.821576939361539668e-07,-3.821576939361539668e-07
9.689689689689689800e+00,-1.647002296727869547e-02,4.123171277932531674e-07,-4.123171277932531674e-07
9.769769769769769852e+00,-2.016475011622740135e-02,4.447693109099475536e-07,-4.447693109099475536e-07
9.849849849849849903e+00,-2.447911223897690849e-02,4.796823072377745581e-07,-4.796823072377745581e-07
9.929929929929929955e+00,-2.948133867553152931e-02,5.172364575495026755e-07,-5.172364575495026755e-07
1.001001001001001001e+01,-3.524083030668647559e-02,5.576254769573872037e-07,-5.576254769573872037e-07
1.009009009009009006e+01,-4.182695588305229695e-02,6.010577405941228499e-07,-6.010577405941228499e-07
1.017017017017017011e+01,-4.930763972497601705e-02,6.477578102546064786e-07,-6.477578102546064786e-07
1.025025025025025016e+01,-5.774773147634928300e-02,6.979682689890569860e-07,-6.979682689890569860e-07
1.033033033033033021e+01,-6.720714741341693443e-02,7.519519473815290789e-07,-7.519519473815290789e-07
1.041041041041041026e+01,-7.773877127232946271e-02,8.099946444945181902e-07,-8.099946444945181902e-07
1.049049049049049032e+01,-8.938610141868996717e-02,8.724084679244382184e-07,-8.724084679244382184e-07
1.057057057057057037e+01,-1.021806316883923649e-01,9.395359404801075890e-07,-9.395359404801075890e-07
1.065065065065065042e+01,-1.161389572134324255e-01,1.011755044620961730e-06,-1.011755044620961730e-06
1.073073073073073047e+01,-1.312596064541710350e-01,1.089485398385501085e-06,-1.089485398385501085e-06
1.081081081081081052e+01,-1.475196194761399238e-01,1.173195775867618889e-06,-1.173195775867618889e-06
1.089089089089089057e+01,-1.648709235231387293e-01,1.263413198394695823e-06,-1.263413198394695823e-06
1.097097097097097063e+01,-1.832366032507285469e-01,1.360733825709826250e-06,-1.360733825709826250e-06
1.105105105105105068e+01,-2.025072266871652260e-01,1.465835865271485055e-06,-1.465835865271485055e-06
1.113113113113113073e+01,-2.225374689378684101e-01,1.579494687436331631e-06,-1.579494687436331631e-06
1.121121121121121078e+01,-2.431433698708486413e-01,1.702600280006557063e-06,-1.702600280006557063e-06
1.129129129129129083e+01,-2.641006599359906892e-01,1.836177093430799168e-06,-1.836177093430799168e-06
1.137137137137137088e+01,-2.851446731827116943e-01,1.981406215763637882e-06,-1.981406215763637882e-06
1.145145145145145094e+01,-3.059724142095002763e-01,2.139649675456877830e-06,-2.139649675456877830e-06
1.153153153153153099e+01,-3.262473261353530662e-01,2.312476505966667556e-06,-2.312476505966667556e-06
1.161161161161161104e+01,-3.456071887602418236e-01,2.501690030598053707e-06,-2.501690030598053707e-06
1.169169169169169109e+01,-3.636753367129476056e-01,2.709355656718731941e-06,-2.709355656718731941e-06
1.177177177177177114e+01,-3.800750227879799992e-01,2.937828328375009768e-06,-2.937828328375009768e-06
1.185185185185185119e+01,-3.944462889557002194e-01,3.189778700734403997e-06,-3.189778700734403997e-06
1.193193193193193125e+01,-4.064642111528026791e-01,3.468217091711247159e-06,-3.468217091711247159e-06
1.201201201201201130e+01,-4.158569514652874499e-01,3.776514350600908820e-06,-3.776514350600908820e-06
1.209209209209209135e+01,-4.224217946411779057e-01,4.118418961956101030e-06,-4.118418961956101030e-06
1.217217217217217140e+01,-4.260373603363694084e-01,4.498069959730260297e-06,-4.498069959730260297e-06
1.225225225225225145e+01,-4.266705121722118021e-01,4.920005529990644369e-06,-4.920005529990644369e-06
1.233233233233233150e+01,-4.243770980586015207e-01,5.389167487301912518e-06,-5.389167487301912518e-06
1.241241241241241156e+01,-4.192964450663576037e-01,5.910902075177431835e-06,-5.910902075177431835e-06
1.249249249249249161e+01,-4.116403375885114846e-01,6.490957727923387730e-06,-6.490957727923387730e-06
1.257257257257257166e+01,-4.016778657712697376e-01,7.135480519225547798e-06,-7.135480519225547798e-06
1.265265265265265171e+01,-3.897179209105536279e-01,7.851008011291760744e-06,-7.851008011291760744e-06
1.273273273273273176e+01,-3.760911880900276727e-01,8.644462124528985865e-06,-8.644462124528985865e-06
1.281281281281281181e+01,-3.611332741222686993e-01,9.523141500575766109e-06,-9.523141500575766109e-06
1.289289289289289364e+01,-3.451701986687146229e-01,1.049471366356173339e-05,-1.049471366356173339e-05
1.297297297297297369e+01,-3.285069798656048423e-01,1.156720712457666001e-05,-1.156720712457666001e-05
1.305305305305305374e+01,-3.114195655010654207e-01,1.274900344296926047e-05,-1.274900344296926047e-05
1.313313313313313380e+01,-2.941499689570407083e-01,1.404882916581469141e-05,-1.404882916581469141e-05
1.321321321321321385e+01,-2.769042004158970283e-01,1.547574751538402399e-05,-1.547574751538402399e-05
1.329329329329329390e+01,-2.598524401254048155e-01,1.703914967903343700e-05,-1.703914967903343700e-05
1.337337337337337395e+01,-2.431308618655948772e-01,1.874874556846369111e-05,-1.874874556846369111e-05
1.345345345345345400e+01,-2.268445511699583861e-01,2.061455394668258105e-05,-2.061455394668258105e-05
1.353353353353353405e+01,-2.110710437022867703e-01,2.264689186278641194e-05,-2.264689186278641194e-05
1.361361361361361411e+01,-1.958641088803352581e-01,2.485636338011521711e-05,-2.485636338011521711e-05
1.369369369369369416e+01,-1.812575040211594490e-01,2.725384762756671918e-05,-2.725384762756671918e-05
1.377377377377377421e+01,-1.672685138269497662e-01,2.985048624375479792e-05,-2.985048624375479792e-05
1.385385385385385426e+01,-1.539011636255628035e-01,3.265767031765283424e-05,-3.265767031765283424e-05
1.393393393393393431e+01,-1.411490511990373120e-01,3.568702695676987736e-05,-3.568702695676987736e-05
1.401401401401401436e+01,-1.289977825559888436e-01,3.895040563481173509e-05,-3.895040563481173509e-05
1.409409409409409442e+01,-1.174270241188487274e-01,4.245986448575480595e-05,-4.245986448575480595e-05
1.417417417417417447e+01,-1.064122003526478122e-01,4.622765672098496899e-05,-4.622765672098496899e-05
1.425425425425425452e+01,-9.592587460788967735e-02,5.026621735130196460e-05,-5.026621735130196460e-05
1.433433433433433457e+01,-8.593885421498746735e-02,5.458815039707378905e-05,-5.458815039707378905e-05
1.441441441441441462e+01,-7.642106051569753922e-02,5.920621676816067427e-05,-5.920621676816067427e-05
1.449449449449449467e+01,-6.734220197212956172e-02,6.413332299110398663e-05,-6.413332299110398663e-05
1.457457457457457473e+01,-5.867228475726716380e-02,6.938251095501528495e-05,-6.938251095501528495e-05
1.465465465465465478e+01,-5.038199099776214523e-02,7.496694884000018187e-05,-7.496694884000018187e-05
1.473473473473473483e+01,-4.244295056990803061e-02,8.089992338316065001e-05,-8.089992338316065001e-05
1.481481481481481488e+01,-3.482792829867330936e-02,8.719483362776986064e-05,-8.719483362776986064e-05
1.489489489489489493e+01,-2.751094472898621759e-02,9.386518629104076341e-05,-9.386518629104076341e-05
1.497497497497497498e+01,-2.046734540812008424e-02,1.009245928754623451e-04,-1.009245928754623451e-04
1.505505505505505504e+01,-1.367383082211591494e-02,1.083867686383045367e-04,-1.083867686383045367e-04
1.513513513513513509e+01,-7.108456765427942359e-03,1.162655335232729367e-04,-1.162655335232729367e-04
1.521521521521521514e+01,-7.506129521566151652e-04,1.245748151481740752e-04,-1.245748151481740752e-04
1.529529529529529519e+01,5.419013955794176746e-03,1.333286539324867685e-04,-1.333286539324867685e-04
1.537537537537537524e+01,1.141848806074681824e-02,1.425412104393199034e-04,-1.425412104393199034e-04
1.545545545545545529e+01,1.726467892005437849e-02,1.522267749972754905e-04,-1.522267749972754905e-04
1.553553553553553535e+01,2.297332032543132618e-02,1.623997796594829721e-04,-1.623997796594829721e-04
1.561561561561561540e+01,2.855907097858454216e-02,1.730748125493596415e-04,-1.730748125493596415e-04
1.569569569569569545e+01,3.403557542091050631e-02,1.842666346356641033e-04,-1.842666346356641033e-04
1.577577577577577550e+01,3.941552401419307766e-02,1.959901989733081791e-04,-1.959901989733081791e-04
1.585585585585585555e+01,4.471071111321751890e-02,2.082606724407511545e-04,-2.082606724407511545e-04
1.593593593593593560e+01,4.993209083588191766e-02,2.210934600000556032e-04,-2.210934600000556032e-04
1.601601601601601743e+01,5.508983004317325599e-02,2.345042315016137397e-04,-2.345042315016137397e-04
1.609609609609609748e+01,6.019335830020412781e-02,2.485089510522229639e-04,-2.485089510522229639e-04
1.617617617617617753e+01,6.525141471068689192e-02,2.631239089624257620e-04,-2.631239089624257620e-04
1.625625625625625759e+01,7.027209160745928607e-02,2.783657562868642249e-04,-2.783657562868642249e-04
1.633633633633633764e+01,7.526287514542598367e-02,2.942515419697462479e-04,-2.942515419697462479e-04
1.641641641641641769e+01,8.023068289470956793e-02,3.107987526067129409e-04,-3.107987526067129409e-04
1.649649649649649774e+01,8.518189856697350182e-02,3.280253548333805780e-04,-3.280253548333805780e-04
1.657657657657657779e+01,9.012240402753649016e-02,3.459498403506628262e-04,-3.459498403506628262e-04
1.665665665665665784e+01,9.505760876386762370e-02,3.645912735969855547e-04,-3.645912735969855547e-04
1.673673673673673790e+01,9.999247698938203144e-02,3.839693420775054373e-04,-3.839693420775054373e-04
1.681681681681681795e+01,1.049315525638000873e-01,4.041044093607850892e-04,-4.041044093607850892e-04
1.689689689689689800e+01,1.098789819139490559e-01,4.250175707537529350e-04,-4.250175707537529350e-04
1.697697697697697805e+01,1.148385351361002060e-01,4.467307116658433353e-04,-4.467307116658433353e-04
1.705705705705705810e+01,1.198136254554855312e-01,4.692665686735058303e-04,-4.692665686735058303e-04
1.713713713713713815e+01,1.248073272160782482e-01,4.926487932962811400e-04,-4.926487932962811400e-04
1.721721721721721821e+01,1.298223925663415379e-01,5.169020184950789141e-04,-5.169020184950789141e-04
1.729729729729729826e+01,1.348612669981592294e-01,5.420519279028773556e-04,-5.420519279028773556e-04
1.737737737737737831e+01,1.399261038919419609e-01,5.681253277971251093e-04,-5.681253277971251093e-04
1.745745745745745836e+01,1.450187782127290159e-01,5.951502218213843053e-04,-5.951502218213843053e-04
1.753753753753753841e+01,1.501408994922623086e-01,6.231558884619605972e-04,-6.231558884619605972e-04
1.761761761761761846e+01,1.552938242256904355e-01,6.521729612829553794e-04,-6.521729612829553794e-04
1.769769769769769852e+01,1.604786678048089887e-01,6.822335119200548205e-04,-6.822335119200548205e-04
1.777777777777777857e+01,1.656963160991551942e-01,7.133711358296557616e-04,-7.133711358296557616e-04
1.785785785785785862e+01,1.709474367880941537e-01,7.456210407861522558e-04,-7.456210407861522558e-04
1.793793793793793867e+01,1.762324905403717945e-01,7.790201381153455005e-04,-7.790201381153455005e-04
1.801801801801801872e+01,1.815517421266762688e-01,8.136071366466209303e-04,-8.136071366466209303e-04
1.809809809809809877e+01,1.869052715416124333e-01,8.494226393610025769e-04,-8.494226393610025769e-04
1.817817817817817883e+01,1.922929852030882958e-01,8.865092427059135865e-04,-8.865092427059135865e-04
1.825825825825825888e+01,1.977146272858695819e-01,9.249116385407470196e-04,-9.249116385407470196e-04
1.833833833833833893e+01,2.031697912359912150e-01,9.646767186705808685e-04,-9.646767186705808685e-04
1.841841841841841898e+01,2.086579315039672200e-01,1.005853681918002012e-03,-1.005853681918002012e-03
1.849849849849849903e+01,2.141783755199380135e-01,1.048494143675193346e-03,-1.048494143675193346e-03
1.857857857857857908e+01,2.197303359253765243e-01,1.092652247871826092e-03,-1.092652247871826092e-03
1.865865865865865914e+01,2.253129230664638882e-01,1.138384781285703331e-03,-1.138384781285703331e-03
1.873873873873873919e+01,2.309251577373493958e-01,1.185751290115950440e-03,-1.185751290115950440e-03
1.881881881881881924e+01,2.365659841536614238e-01,1.234814198731850297e-03,-1.234814198731850297e-03
1.889889889889889929e+01,2.422342831259697848e-01,1.285638930502802603e-03,-1.285638930502802603e-03
1.897897897897897934e+01,2.479288853894516254e-01,1.338294030608675389e-03,-1.338294030608675389e-03
1.905905905905905939e+01,2.536485850361125394e-01,1.392851290723885358e-03,-1.392851290723885358e-03
1.913913913913913944e+01,2.593921529865584330e-01,1.449385875463332553e-03,-1.449385875463332553e-03
1.921921921921921950e+01,2.651583504282397086e-01,1.507976450473530071e-03,-1.507976450473530071e-03
1.929929929929929955e+01,2.709459421394582734e-01,1.568705312048885745e-03,-1.568705312048885745e-03
1.937937937937937960e+01,2.767537096108110273e-01,1.631658518149794578e-03,-1.631658518149794578e-03
1.945945945945945965e+01,2.825804638688810821e-01,1.696926020697781456e-03,-1.696926020697781456e-03
1.953953953953953970e+01,2.884250579057143771e-01,1.764601799022008687e-03,-1.764601799022008687e-03
1.961961961961961975e+01,2.942863986110948460e-01,1.834783994330814287e-03,-1.834783994330814287e-03
1.969969969969969981e+01,3.001634581053120310e-01,1.907575045084386207e-03,-1.907575045084386207e-03
1.977977977977977986e+01,3.060552843718799543e-01,1.983081823145427941e-03,-1.983081823145427941e-03
1.985985985985985991e+01,3.119610110894773802e-01,2.061415770588497995e-03,-2.061415770588497995e-03
1.993993993993993996e+01,3.178798665699654746e-01,2.142693037052348804e-03,-2.142693037052348804e-03
2.002002002002002001e+01,3.238111817120717939e-01,2.227034617523737138e-03,-2.227034617523737138e-03
2.010010010010010006e+01,3.297543968910975898e-01,2.314566490447678235e-03,-2.314566490447678235e-03
2.018018018018018012e+01,3.357090677145806445e-01,2.405419756063304632e-03,-2.405419756063304632e-03
2.026026026026026017e+01,3.416748695814919023e-01,2.499730774871778208e-03,-2.499730774871778208e-03
2.034034034034034022e+01,3.476516009987547506e-01,2.597641306149095150e-03,-2.597641306149095150e-03
2.042042042042042027e+01,3.536391856207269924e-01,2.699298646422495108e-03,-2.699298646422495108e-03
2.050050050050050032e+01,3.596376729909286918e-01,2.804855767836151627e-03,-2.804855767836151627e-03
2.058058058058058037e+01,3.656472379807557127e-01,2.914471456337610136e-03,-2.914471456337610136e-03
2.066066066066066043e+01,3.716681789341544917e-01,3.028310449622346936e-03,-3.028310449622346936e-03
2.074074074074074048e+01,3.777009145427172587e-01,3.146543574778894528e-03,-3.146543574778894528e-03
2.082082082082082053e+01,3.837459794907681077e-01,3.269347885581269913e-03,-3.269347885581269913e-03
2.090090090090090058e+01,3.898040189220379759e-01,3.396906799378533303e-03,-3.396906799378533303e-03
2.098098098098098063e+01,3.958757817929197120e-01,3.529410233534630188e-03,-3.529410233534630188e-03
2.106106106106106068e+01,4.019621131923628576e-01,3.667054741372563487e-03,-3.667054741372563487e-03
2.114114114114114074e+01,4.080639457144002447e-01,3.810043647576146289e-03,-3.810043647576146289e-03
2.122122122122122079e+01,4.141822899806965053e-01,3.958587183003454794e-03,-3.958587183003454794e-03
2.130130130130130084e+01,4.203182244186126071e-01,4.112902618861585119e-03,-4.112902618861585119e-03
2.138138138138138089e+01,4.264728844037010136e-01,4.273214400190072058e-03,-4.273214400190072058e-03
2.146146146146146094e+01,4.326474508830392418e-01,4.439754278594514394e-03,-4.439754278594514394e-03
2.154154154154154099e+01,4.388431385928379669e-01,4.612761444164907923e-03,-4.612761444164907923e-03
2.162162162162162105e+01,4.450611839885919019e-01,4.792482656507924231e-03,-4.792482656507924231e-03
2.170170170170170110e+01,4.513028330050847803e-01,4.979172374810382842e-03,-4.979172374810382842e-03
2.178178178178178115e+01,4.575693287555002153e-01,5.173092886843023291e-03,-5.173092886843023291e-03
2.186186186186186120e+01,4.638618992799420360e-01,5.374514436803153050e-03,-5.374514436803153050e-03
2.194194194194194125e+01,4.701817454471782787e-01,5.583715351881324805e-03,-5.583715351881324805e-03
2.202202202202202130e+01,4.765300291047660508e-01,5.800982167425325006e-03,-5.800982167425325006e-03
2.210210210210210136e+01,4.829078615665943208e-01,6.026609750561375684e-03,-6.026609750561375684e-03
2.218218218218218141e+01,4.893162925186489431e-01,6.260901422118373381e-03,-6.260901422118373381e-03
2.226226226226226146e+01,4.957562994157987402e-01,6.504169076686560497e-03,-6.504169076686560497e-03
2.234234234234234151e+01,5.022287774313404229e-01,6.756733300626623431e-03,-6.756733300626623431e-03
2.242242242242242156e+01,5.087345300118287783e-01,7.018923487831588322e-03,-7.018923487831588322e-03
2.250250250250250161e+01,5.152742600844495424e-01,7.291077953028417442e-03,-7.291077953028417442e-03
