Protocol,T,AGF,Omega_peak,Energy,PulseArea
qubit_STIRAP,0.5,0.2129125900713423,1.9999718188640583,60.15907859114304,36.288907676277795
qubit_STIRAP,1.0,0.663435749740517,1.9999718188640583,120.31815718228609,72.57781535255559
qubit_STIRAP,1.5,0.24384285369263448,1.9999718188640583,180.47723577342913,108.8667230288334
qubit_STIRAP,2.0,0.19844865332327513,1.9999718188640583,240.63631436457217,145.15563070511118
qubit_STIRAP,2.5,0.6930899814255974,1.9999718188640585,300.7953929557153,181.44453838138904
qubit_STIRAP,3.0,0.9304441583039255,1.9999718188640583,360.95447154685826,217.7334460576668
qubit_STIRAP,3.5,0.9156288076116914,1.9999718188640585,421.1135501380015,254.02235373394456
qubit_STIRAP,4.0,0.7828570226185103,1.9999718188640583,481.27262872914434,290.31126141022236
qubit_STIRAP,4.5,0.9281238967603409,1.9999718188640583,541.4317073202874,326.6001690865001
qubit_STIRAP,5.0,0.9762142518508501,1.9999718188640585,601.5907859114305,362.8890767627781
qubit_STIRAP,5.5,0.9784728634083282,1.9999718188640583,661.7498645025737,399.17798443905565
qubit_STIRAP,6.0,0.9619178437450353,1.9999718188640583,721.9089430937165,435.4668921153336
qubit_STIRAP,6.5,0.9909269051938473,1.9999718188640583,782.0680216848596,471.75579979161125
qubit_STIRAP,7.0,0.9990402976710131,1.9999718188640585,842.227100276003,508.0447074678891
qubit_STIRAP,7.5,0.999551077792694,1.9999718188640583,902.3861788671456,544.3336151441671
qubit_STIRAP,8.0,0.9982445616847316,1.9999718188640583,962.5452574582887,580.6225228204447
qubit_STIRAP,8.5,0.9957783699930172,1.9999718188640583,1022.7043360494321,616.9114304967225
qubit_STIRAP,9.0,0.9984516214506627,1.9999718188640583,1082.8634146405748,653.2003381730002
qubit_STIRAP,9.5,0.9991062350248086,1.9999718188640585,1143.0224932317178,689.4892458492782
qubit_STIRAP,10.0,0.9992845932585042,1.9999718188640585,1203.181571822861,725.7781535255561
qubit_STIRAP,10.5,0.9999536558845599,1.9999718188640585,1263.340650414004,762.0670612018339
qubit_STIRAP,11.0,0.9999277699373742,1.9999718188640583,1323.4997290051474,798.3559688781113
qubit_STIRAP,11.5,0.9999343713943025,1.9999718188640583,1383.65880759629,834.6448765543893
qubit_STIRAP,12.0,0.9999867394488943,1.9999718188640583,1443.817886187433,870.9337842306672
qubit_STIRAP,12.5,0.9996850436280423,1.9999718188640583,1503.9769647785763,907.2226919069451
qubit_STIRAP,13.0,0.9997364418053408,1.9999718188640583,1564.1360433697191,943.5115995832225
qubit_STIRAP,13.5,0.9998545043868022,1.9999718188640583,1624.2951219608622,979.8005072595004
qubit_STIRAP,14.0,0.9999074079394603,1.9999718188640585,1684.454200552006,1016.0894149357782
qubit_STIRAP,14.5,0.9999867786871073,1.9999718188640583,1744.6132791431482,1052.378322612056
qubit_STIRAP,15.0,0.9998707313582476,1.9999718188640583,1804.7723577342913,1088.6672302883342
qubit_STIRAP,15.5,0.9999085395710395,1.9999718188640583,1864.931436325435,1124.9561379646116
qubit_STIRAP,16.0,0.999944363936612,1.9999718188640583,1925.0905149165774,1161.2450456408894
qubit_STIRAP,16.5,0.9999825124653767,1.9999718188640583,1985.2495935077204,1197.5339533171673
qubit_STIRAP,17.0,0.9998350823790355,1.9999718188640583,2045.4086720988641,1233.822860993445
qubit_STIRAP,17.5,0.9998845441811003,1.9999718188640583,2105.5677506900065,1270.1117686697232
qubit_STIRAP,18.0,0.9999280966485105,1.9999718188640583,2165.7268292811495,1306.4006763460004
qubit_STIRAP,18.5,0.9999999633164756,1.9999718188640585,2225.885907872293,1342.6895840222787
qubit_STIRAP,19.0,0.999844039337316,1.9999718188640585,2286.0449864634356,1378.9784916985564
qubit_STIRAP,19.5,0.9998849796662432,1.9999718188640585,2346.2040650545787,1415.267399374834
qubit_STIRAP,20.0,0.9999341858384685,1.9999718188640585,2406.363143645722,1451.5563070511123
qubit_STIRAP,20.5,0.9999983467014342,1.9999718188640585,2466.5222222368648,1487.8452147273895
qubit_STIRAP,21.0,0.9998400141498578,1.9999718188640585,2526.681300828008,1524.1341224036678
qubit_STIRAP,21.5,0.9998869331690485,1.9999718188640583,2586.840379419151,1560.4230300799454
qubit_STIRAP,22.0,0.9999409541660658,1.9999718188640583,2646.999458010295,1596.7119377562226
qubit_STIRAP,22.5,0.9999935060162318,1.9999718188640583,2707.158536601437,1633.0008454325011
qubit_STIRAP,23.0,0.9998643547215609,1.9999718188640583,2767.31761519258,1669.2897531087785
qubit_STIRAP,23.5,0.9999027332351875,1.9999718188640583,2827.476693783724,1705.578660785056
qubit_STIRAP,24.0,0.9999531327082654,1.9999718188640583,2887.635772374866,1741.8675684613345
qubit_STIRAP,24.5,0.9999903880156129,1.9999718188640583,2947.7948509660096,1778.1564761376117
qubit_STIRAP,25.0,0.9998993821097002,1.9999718188640583,3007.9539295571526,1814.4453838138902
qubit_STIRAP,25.5,0.999918382329051,1.9999718188640583,3068.113008148295,1850.7342914901674
qubit_STIRAP,26.0,0.9999613385575621,1.9999718188640583,3128.2720867394382,1887.023199166445
qubit_STIRAP,26.5,0.9999874730772366,1.9999718188640583,3188.4311653305826,1923.3121068427233
qubit_STIRAP,27.0,0.9999395178169097,1.9999718188640583,3248.5902439217243,1959.6010145190007
qubit_STIRAP,27.5,0.9999262597690967,1.9999718188640585,3308.7493225128683,1995.889922195279
qubit_STIRAP,28.0,0.999961823248053,1.9999718188640585,3368.908401104012,2032.1788298715564
qubit_STIRAP,28.5,0.9999834425519596,1.9999718188640585,3429.0674796951535,2068.4677375478336
qubit_STIRAP,29.0,0.9999718520361313,1.9999718188640583,3489.2265582862965,2104.756645224112
qubit_STIRAP,29.5,0.999922243322653,1.9999718188640583,3549.385636877441,2141.04555290039
qubit_STIRAP,30.0,0.9999549878856028,1.9999718188640583,3609.5447154685826,2177.3344605766683
quartit_STIRAP,0.5,0.3644198641960611,1.9999718188640583,20.053026197047686,12.096302558759266
quartit_STIRAP,1.0,0.6917846673668266,1.9999718188640583,40.10605239409537,24.192605117518532
quartit_STIRAP,1.5,0.416134893272582,1.9999718188640583,60.15907859114306,36.2889076762778
quartit_STIRAP,2.0,0.492191444256535,1.9999718188640583,80.21210478819074,48.385210235037064
quartit_STIRAP,2.5,0.7588339177690269,1.9999718188640583,100.26513098523841,60.48151279379633
quartit_STIRAP,3.0,0.9317297588102538,1.9999718188640583,120.31815718228611,72.5778153525556
quartit_STIRAP,3.5,0.9258166364092582,1.9999718188640583,140.3711833793338,84.67411791131487
quartit_STIRAP,4.0,0.916126010956852,1.9999718188640583,160.4242095763815,96.77042047007413
quartit_STIRAP,4.5,0.9465999583365361,1.9999718188640583,180.47723577342916,108.8667230288334
quartit_STIRAP,5.0,0.9810092199706151,1.9999718188640583,200.53026197047683,120.96302558759265
quartit_STIRAP,5.5,0.9833431117347093,1.9999718188640583,220.58328816752453,133.0593281463519
quartit_STIRAP,6.0,0.9847302366661526,1.9999718188640583,240.63631436457223,145.1556307051112
quartit_STIRAP,6.5,0.994986680736838,1.9999718188640583,260.68934056161993,157.25193326387046
quartit_STIRAP,7.0,0.9993114874003313,1.9999718188640583,280.7423667586676,169.34823582262973
quartit_STIRAP,7.5,0.9996786479446799,1.9999718188640583,300.7953929557153,181.44453838138898
quartit_STIRAP,8.0,0.9990932624807034,1.9999718188640583,320.848419152763,193.54084094014826
quartit_STIRAP,8.5,0.9982536196469599,1.9999718188640583,340.9014453498106,205.6371434989075
quartit_STIRAP,9.0,0.9988388532088438,1.9999718188640583,360.9544715468583,217.7334460576668
quartit_STIRAP,9.5,0.999317241920766,1.9999718188640583,381.007497743906,229.82974861642606
quartit_STIRAP,10.0,0.9994955104227612,1.9999718188640583,401.06052394095366,241.9260511751853
quartit_STIRAP,10.5,0.999984270831652,1.9999718188640583,421.1135501380014,254.02235373394456
quartit_STIRAP,11.0,0.9999377603899248,1.9999718188640583,441.16657633504906,266.1186562927038
quartit_STIRAP,11.5,0.9999412754861187,1.9999718188640583,461.2196025320967,278.2149588514631
quartit_STIRAP,12.0,0.9999879211366128,1.9999718188640583,481.27262872914446,290.3112614102224
quartit_STIRAP,12.5,0.9999034496411572,1.9999718188640583,501.3256549261921,302.40756396898166
quartit_STIRAP,13.0,0.9997427616863799,1.9999718188640583,521.3786811232399,314.5038665277409
