theta,delta,fidelity
1.308996938995747039e-01,3.010692959690218107e+00,8.475738956003271429e-01
1.308996938995747039e-01,3.141592653589793116e+00,8.474263900758177703e-01
1.308996938995747039e-01,3.272492347489367681e+00,8.475457540649961041e-01
1.308996938995747039e-01,3.403392041388942246e+00,8.479303184986201058e-01
1.308996938995747039e-01,3.534291735288516811e+00,8.485744171312491479e-01
1.308996938995747039e-01,3.665191429188091821e+00,8.494667413273142564e-01
1.308996938995747039e-01,3.796091123087666386e+00,8.505938089507977251e-01
1.308996938995747039e-01,3.926990816987240951e+00,8.519364497552162074e-01
1.308996938995747039e-01,4.057890510886815960e+00,8.534738395755032681e-01
1.308996938995747039e-01,4.188790204786390525e+00,8.551806453965443700e-01
1.308996938995747039e-01,4.319689898685965090e+00,8.570281756657963657e-01
1.308996938995747039e-01,4.450589592585539656e+00,8.589864232986281767e-01
1.308996938995747039e-01,4.581489286485114221e+00,8.610220588494819083e-01
1.308996938995747039e-01,4.712388980384689674e+00,8.631008038263994209e-01
1.308996938995747039e-01,4.843288674284264239e+00,8.651873868318821215e-01
1.308996938995747039e-01,4.974188368183838804e+00,8.672454140096859110e-01
1.308996938995747039e-01,5.105088062083413369e+00,8.692397585443403241e-01
1.308996938995747039e-01,5.235987755982987935e+00,8.711354016296096736e-01
1.308996938995747039e-01,5.366887449882562500e+00,8.728986337955955133e-01
1.308996938995747039e-01,5.497787143782137953e+00,8.744995743052929038e-01
1.308996938995747039e-01,5.628686837681712518e+00,8.759080112892705383e-01
1.308996938995747039e-01,5.759586531581287083e+00,8.770990544028127722e-01
1.308996938995747039e-01,5.890486225480861648e+00,8.780515284532994791e-01
1.308996938995747039e-01,6.021385919380436214e+00,8.787486350684827752e-01
1.308996938995747039e-01,6.152285613280010779e+00,8.791771115276826309e-01
1.308996938995747039e-01,6.283185307179586232e+00,8.793294630682423341e-01
1.963495408493620697e-01,0.000000000000000000e+00,8.874705418380517408e-01
1.963495408493620697e-01,1.308996938995747039e-01,8.872786042710053556e-01
1.963495408493620697e-01,2.617993877991494078e-01,8.866698307092452103e-01
1.963495408493620697e-01,3.926990816987241395e-01,8.856551856523199318e-01
1.963495408493620697e-01,5.235987755982988157e-01,8.842532256073962760e-01
1.963495408493620697e-01,6.544984694978734918e-01,8.824901555424272681e-01
1.963495408493620697e-01,7.853981633974482790e-01,8.803990548458253684e-01
1.963495408493620697e-01,9.162978572970229552e-01,8.780170927681142379e-01
1.963495408493620697e-01,1.047197551196597631e+00,8.753894864618314564e-01
1.963495408493620697e-01,1.178097245096172418e+00,8.725615793288219457e-01
1.963495408493620697e-01,1.308996938995746984e+00,8.695850589529418029e-01
1.963495408493620697e-01,1.439896632895321771e+00,8.665114834011753420e-01
1.963495408493620697e-01,1.570796326794896558e+00,8.633953383375204682e-01
1.963495408493620697e-01,1.701696020694471123e+00,8.602896874522227844e-01
1.963495408493620697e-01,1.832595714594045910e+00,8.572472907928968544e-01
1.963495408493620697e-01,1.963495408493620475e+00,8.543192046937807538e-01
1.963495408493620697e-01,2.094395102393195263e+00,8.515539036686234908e-01
1.963495408493620697e-01,2.225294796292769828e+00,8.489964834680648886e-01
1.963495408493620697e-01,2.356194490192344837e+00,8.466887684470428832e-01
1.963495408493620697e-01,2.487094184091919402e+00,8.446668688869997110e-01
1.963495408493620697e-01,2.617993877991493967e+00,8.429636550886721036e-01
