T,Avg_Fid,Max_Fid,Min_Fid
1.000000000000000056e-01,1.982067354635373146e-01,7.710400046809828822e-01,8.203711262988963322e-04
5.074999999999999289e+00,9.820534731759383851e-01,9.995461197957337118e-01,9.440614491173516809e-01
1.004999999999999893e+01,9.992534996411045478e-01,9.999426794343504454e-01,9.978049102441203244e-01
1.502499999999999858e+01,9.998661636371892758e-01,9.999908522977523084e-01,9.996534966223447061e-01
2.000000000000000000e+01,9.999312517167143755e-01,9.999961204725730246e-01,9.998144201947318788e-01
