epsilon,gamma_T,AGF
-9.591836734693878763e-02,7.543120063354623143e-03,9.960159390288293446e-01
-9.591836734693878763e-02,9.540954763499944619e-03,9.953125681013887949e-01
-9.591836734693878763e-02,1.206792640639328847e-02,9.938276858962374893e-01
-9.591836734693878763e-02,1.526417967175233356e-02,9.923766295225271428e-01
-9.591836734693878763e-02,1.930697728883249559e-02,9.907557672597537834e-01
-9.591836734693878763e-02,2.442053094548649744e-02,9.889575877378824487e-01
-9.591836734693878763e-02,3.088843596477484910e-02,9.851966547180694977e-01
-9.591836734693878763e-02,3.906939937054620948e-02,9.817989859918020423e-01
-9.591836734693878763e-02,4.941713361323837872e-02,9.776997006800332013e-01
-9.591836734693878763e-02,6.250551925273975518e-02,9.735027675229277477e-01
-9.591836734693878763e-02,7.906043210907701124e-02,9.643898222246893859e-01
-9.591836734693878763e-02,1.000000000000000056e-01,9.574342991507321932e-01
-9.183673469387755584e-02,9.999999999999999547e-07,9.992999115048226688e-01
-9.183673469387755584e-02,1.264855216855295881e-06,9.992569571767336845e-01
-9.183673469387755584e-02,1.599858719606057360e-06,9.992972937111214149e-01
-9.183673469387755584e-02,2.023589647725155726e-06,9.992822947182413706e-01
-9.183673469387755584e-02,2.559547922699533382e-06,9.992805368369128693e-01
-9.183673469387755584e-02,3.237457542817646685e-06,9.992009081385510028e-01
-9.183673469387755584e-02,4.094915062380427237e-06,9.993524445999972805e-01
-9.183673469387755584e-02,5.179474679231212330e-06,9.992336854946687330e-01
-9.183673469387755584e-02,6.551285568595509496e-06,9.992592706155180027e-01
-9.183673469387755584e-02,8.286427728546842542e-06,9.992915564355847602e-01
-9.183673469387755584e-02,1.048113134154685250e-05,9.992657331586469738e-01
-9.183673469387755584e-02,1.325711365590110898e-05,9.993316690126117230e-01
-9.183673469387755584e-02,1.676832936811009972e-05,9.992569679448937148e-01
-9.183673469387755584e-02,2.120950887920192640e-05,9.991967163149938491e-01
-9.183673469387755584e-02,2.682695795279727390e-05,9.993562981755975683e-01
-9.183673469387755584e-02,3.393221771895329857e-05,9.992883452593896987e-01
-9.183673469387755584e-02,4.291934260128778017e-05,9.991650269409813045e-01
-9.183673469387755584e-02,5.428675439323859403e-05,9.992725127722411615e-01
-9.183673469387755584e-02,6.866488450042998925e-05,9.992656163468528474e-01
-9.183673469387755584e-02,8.685113737513520580e-05,9.991941195566752532e-01
-9.183673469387755584e-02,1.098541141987558346e-04,9.992743618769178715e-01
-9.183673469387755584e-02,1.389495494373137348e-04,9.991949524377203851e-01
-9.183673469387755584e-02,1.757510624854793067e-04,9.992005015201742557e-01
-9.183673469387755584e-02,2.222996482526195465e-04,9.992013061624127612e-01
-9.183673469387755584e-02,2.811768697974231118e-04,9.990352754827653836e-01
-9.183673469387755584e-02,3.556480306223128661e-04,9.990706929870941666e-01
-9.183673469387755584e-02,4.498432668969443876e-04,9.991580329698586116e-01
-9.183673469387755584e-02,5.689866029018298636e-04,9.990236276984441055e-01
-9.183673469387755584e-02,7.196856730011521675e-04,9.990397908628103618e-01
-9.183673469387755584e-02,9.102981779915217267e-04,9.988371914626249515e-01
-9.183673469387755584e-02,1.151395399326448146e-03,9.987999445917532526e-01
-9.183673469387755584e-02,1.456348477501244378e-03,9.986900935586433548e-01
-9.183673469387755584e-02,1.842069969326716331e-03,9.985049734335358362e-01
-9.183673469387755584e-02,2.329951810515372077e-03,9.982422361290348434e-01
-9.183673469387755584e-02,2.947051702551809708e-03,9.980084051829806180e-01
-9.183673469387755584e-02,3.727593720314941773e-03,9.976264712262475909e-01
-9.183673469387755584e-02,4.714866363457394238e-03,9.972130234851647179e-01
