epsilon,gamma_t,AGF
-8.367346938775510612e-02,2.559547922699533382e-06,9.999855114363640496e-01
-8.367346938775510612e-02,3.237457542817646685e-06,9.999849216535223739e-01
-8.367346938775510612e-02,4.094915062380427237e-06,9.999841746977309320e-01
-8.367346938775510612e-02,5.179474679231212330e-06,9.999832313760443903e-01
-8.367346938775510612e-02,6.551285568595509496e-06,9.999820385236246612e-01
-8.367346938775510612e-02,8.286427728546842542e-06,9.999805291063420531e-01
-8.367346938775510612e-02,1.048113134154685250e-05,9.999786198054191333e-01
-8.367346938775510612e-02,1.325711365590110898e-05,9.999762038253533492e-01
-8.367346938775510612e-02,1.676832936811009972e-05,9.999731488191533346e-01
-8.367346938775510612e-02,2.120950887920192640e-05,9.999692840013909567e-01
-8.367346938775510612e-02,2.682695795279727390e-05,9.999643991265000365e-01
-8.367346938775510612e-02,3.393221771895329857e-05,9.999582153377937210e-01
-8.367346938775510612e-02,4.291934260128778017e-05,9.999503965203452305e-01
-8.367346938775510612e-02,5.428675439323859403e-05,9.999405074115985670e-01
-8.367346938775510612e-02,6.866488450042998925e-05,9.999279976590342844e-01
-8.367346938775510612e-02,8.685113737513520580e-05,9.999121769097268908e-01
-8.367346938775510612e-02,1.098541141987558346e-04,9.998921662238423602e-01
-8.367346938775510612e-02,1.389495494373137348e-04,9.998668557193785000e-01
-8.367346938775510612e-02,1.757510624854793067e-04,9.998348453837460070e-01
-8.367346938775510612e-02,2.222996482526195465e-04,9.997943582356483283e-01
-8.367346938775510612e-02,2.811768697974231118e-04,9.997431518763549851e-01
-8.367346938775510612e-02,3.556480306223128661e-04,9.996783915449571900e-01
-8.367346938775510612e-02,4.498432668969443876e-04,9.995964886185079168e-01
-8.367346938775510612e-02,5.689866029018298636e-04,9.994929118299809012e-01
-8.367346938775510612e-02,7.196856730011521675e-04,9.993619326576879125e-01
-8.367346938775510612e-02,9.102981779915217267e-04,9.991963078053049951e-01
-8.367346938775510612e-02,1.151395399326448146e-03,9.989868907215831983e-01
-8.367346938775510612e-02,1.456348477501244378e-03,9.987221265614817378e-01
-8.367346938775510612e-02,1.842069969326716331e-03,9.983874249639959064e-01
-8.367346938775510612e-02,2.329951810515372077e-03,9.979643824218042969e-01
-8.367346938775510612e-02,2.947051702551809708e-03,9.974297771436672067e-01
-8.367346938775510612e-02,3.727593720314941773e-03,9.967543502272337985e-01
-8.367346938775510612e-02,4.714866363457394238e-03,9.959012655361744182e-01
-8.367346938775510612e-02,5.963623316594642357e-03,9.948242063587057205e-01
-8.367346938775510612e-02,7.543120063354623143e-03,9.934650211351825355e-01
-8.367346938775510612e-02,9.540954763499944619e-03,9.917508601414176672e-01
-8.367346938775510612e-02,1.206792640639328847e-02,9.895906737622834903e-01
-8.367346938775510612e-02,1.526417967175233356e-02,9.868710458833654942e-01
-8.367346938775510612e-02,1.930697728883249559e-02,9.834512847931083934e-01
-8.367346938775510612e-02,2.442053094548649744e-02,9.791577857604605306e-01
-8.367346938775510612e-02,3.088843596477484910e-02,9.737777800472402490e-01
-8.367346938775510612e-02,3.906939937054620948e-02,9.670527855112827087e-01
-8.367346938775510612e-02,4.941713361323837872e-02,9.586723322659967961e-01
-8.367346938775510612e-02,6.250551925273975518e-02,9.482690450079397371e-01
-8.367346938775510612e-02,7.906043210907701124e-02,9.354167047965100679e-01
-8.367346938775510612e-02,1.000000000000000056e-01,9.196338429437537210e-01
-7.959183673469388820e-02,9.999999999999999547e-07,9.999870061969928781e-01
-7.959183673469388820e-02,1.264855216855295881e-06,9.999867760657081828e-01
-7.959183673469388820e-02,1.599858719606057360e-06,9.999864846210309022e-01
-7.959183673469388820e-02,2.023589647725155726e-06,9.999861151592169817e-01
-7.959183673469388820e-02,2.559547922699533382e-06,9.999856488279165179e-01
-7.959183673469388820e-02,3.237457542817646685e-06,9.999850601559663321e-01
-7.959183673469388820e-02,4.094915062380427237e-06,9.999843126004853699e-01
-7.959183673469388820e-02,5.179474679231212330e-06,9.999833702444242967e-01
-7.959183673469388820e-02,6.551285568595509496e-06,9.999821754979235644e-01
-7.959183673469388820e-02,8.286427728546842542e-06,9.999806662108161603e-01
-7.959183673469388820e-02,1.048113134154685250e-05,9.999787571132778830e-01
-7.959183673469388820e-02,1.325711365590110898e-05,9.999763402341205198e-01
-7.959183673469388820e-02,1.676832936811009972e-05,9.999732880237321986e-01
-7.959183673469388820e-02,2.120950887920192640e-05,9.999694237174684419e-01
-7.959183673469388820e-02,2.682695795279727390e-05,9.999645364308191731e-01
-7.959183673469388820e-02,3.393221771895329857e-05,9.999583542333145836e-01
-7.959183673469388820e-02,4.291934260128778017e-05,9.999505339370183821e-01
-7.959183673469388820e-02,5.428675439323859403e-05,9.999406442510574422e-01
-7.959183673469388820e-02,6.866488450042998925e-05,9.999281364741348099e-01
-7.959183673469388820e-02,8.685113737513520580e-05,9.999123158359839447e-01
-7.959183673469388820e-02,1.098541141987558346e-04,9.998923055938777615e-01
-7.959183673469388820e-02,1.389495494373137348e-04,9.998669964938891042e-01
-7.959183673469388820e-02,1.757510624854793067e-04,9.998349863270398208e-01
-7.959183673469388820e-02,2.222996482526195465e-04,9.997944982788489199e-01
-7.959183673469388820e-02,2.811768697974231118e-04,9.997432942569581815e-01
-7.959183673469388820e-02,3.556480306223128661e-04,9.996785335294852137e-01
-7.959183673469388820e-02,4.498432668969443876e-04,9.995966334352551774e-01
-7.959183673469388820e-02,5.689866029018298636e-04,9.994930604785651207e-01
-7.959183673469388820e-02,7.196856730011521675e-04,9.993620810956872491e-01
-7.959183673469388820e-02,9.102981779915217267e-04,9.991964603416083612e-01
-7.959183673469388820e-02,1.151395399326448146e-03,9.989870465748010853e-01
-7.959183673469388820e-02,1.456348477501244378e-03,9.987222861846721811e-01
-7.959183673469388820e-02,1.842069969326716331e-03,9.983875925782053073e-01
-7.959183673469388820e-02,2.329951810515372077e-03,9.979645543405979424e-01
-7.959183673469388820e-02,2.947051702551809708e-03,9.974299579691370266e-01
-7.959183673469388820e-02,3.727593720314941773e-03,9.967545408853736300e-01
-7.959183673469388820e-02,4.714866363457394238e-03,9.959014708096506352e-01
-7.959183673469388820e-02,5.963623316594642357e-03,9.948244254180774737e-01
-7.959183673469388820e-02,7.543120063354623143e-03,9.934652580916834008e-01
-7.959183673469388820e-02,9.540954763499944619e-03,9.917511147787115844e-01
-7.959183673469388820e-02,1.206792640639328847e-02,9.895909453773452658e-01
-7.959183673469388820e-02,1.526417967175233356e-02,9.868713313371639817e-01
-7.959183673469388820e-02,1.930697728883249559e-02,9.834515775398048332e-01
-7.959183673469388820e-02,2.442053094548649744e-02,9.791580692071406578e-01
-7.959183673469388820e-02,3.088843596477484910e-02,9.737780209810610321e-01
-7.959183673469388820e-02,3.906939937054620948e-02,9.670529208244650343e-01
-7.959183673469388820e-02,4.941713361323837872e-02,9.586722649908793192e-01
-7.959183673469388820e-02,6.250551925273975518e-02,9.482686006498174391e-01
-7.959183673469388820e-02,7.906043210907701124e-02,9.354156084266671556e-01
-7.959183673469388820e-02,1.000000000000000056e-01,9.196316472735562852e-01
-7.551020408163265640e-02,9.999999999999999547e-07,9.999867460754287007e-01
-7.551020408163265640e-02,1.264855216855295881e-06,9.999865168586166142e-01
-7.551020408163265640e-02,1.599858719606057360e-06,9.999862223972871833e-01
-7.551020408163265640e-02,2.023589647725155726e-06,9.999858552173082060e-01
-7.551020408163265640e-02,2.559547922699533382e-06,9.999853872007326006e-01
-7.551020408163265640e-02,3.237457542817646685e-06,9.999847998203098554e-01
-7.551020408163265640e-02,4.094915062380427237e-06,9.999840529444431469e-01
-7.551020408163265640e-02,5.179474679231212330e-06,9.999831092842036417e-01
-7.551020408163265640e-02,6.551285568595509496e-06,9.999819158062307478e-01
-7.551020408163265640e-02,8.286427728546842542e-06,9.999804068689290837e-01
-7.551020408163265640e-02,1.048113134154685250e-05,9.999784966589768676e-01
-7.551020408163265640e-02,1.325711365590110898e-05,9.999760810004759692e-01
-7.551020408163265640e-02,1.676832936811009972e-05,9.999730260163524065e-01
-7.551020408163265640e-02,2.120950887920192640e-05,9.999691626518424359e-01
-7.551020408163265640e-02,2.682695795279727390e-05,9.999642746597728893e-01
-7.551020408163265640e-02,3.393221771895329857e-05,9.999580933185385767e-01
-7.551020408163265640e-02,4.291934260128778017e-05,9.999502763681230588e-01
-7.551020408163265640e-02,5.428675439323859403e-05,9.999403881749370226e-01
-7.551020408163265640e-02,6.866488450042998925e-05,9.999278793482478944e-01
-7.551020408163265640e-02,8.685113737513520580e-05,9.999120574800389738e-01
-7.551020408163265640e-02,1.098541141987558346e-04,9.998920479397365169e-01
-7.551020408163265640e-02,1.389495494373137348e-04,9.998667389802396999e-01
-7.551020408163265640e-02,1.757510624854793067e-04,9.998347288122387821e-01
-7.551020408163265640e-02,2.222996482526195465e-04,9.997942438130500431e-01
-7.551020408163265640e-02,2.811768697974231118e-04,9.997430383569934076e-01
