T,AGF,Avg_Leakage,Unitary_Error
80.0,0.999987674,0.000012,0.000022
80.5,0.999996269,0.000004,0.000009
81.0,0.999982381,0.000018,0.000032
81.5,0.999992982,0.000007,0.000015
82.0,0.999992458,0.000008,0.000015
82.5,0.999994840,0.000005,0.000009
83.0,0.999989359,0.000011,0.000021
83.5,0.999989706,0.000010,0.000016
84.0,0.999996131,0.000004,0.000010
84.5,0.999992171,0.000008,0.000012
85.0,0.999994627,0.000005,0.000014
85.5,0.999984799,0.000015,0.000021
86.0,0.999997613,0.000002,0.000006
86.5,0.999988796,0.000011,0.000017
87.0,0.999997229,0.000003,0.000008
87.5,0.999979799,0.000020,0.000033
88.0,0.999997299,0.000003,0.000007
88.5,0.999986217,0.000014,0.000024
89.0,0.999997786,0.000002,0.000005
89.5,0.999976994,0.000023,0.000041
90.0,0.999996355,0.000004,0.000011
90.5,0.999985934,0.000014,0.000026
91.0,0.999997508,0.000002,0.000007
91.5,0.999977941,0.000022,0.000041
92.0,0.999995520,0.000004,0.000013
92.5,0.999988302,0.000012,0.000021
93.0,0.999997057,0.000003,0.000008
93.5,0.999982398,0.000018,0.000032
94.0,0.999994474,0.000006,0.000014
94.5,0.999992209,0.000008,0.000014
95.0,0.999996191,0.000004,0.000008
95.5,0.999988463,0.000012,0.000021
96.0,0.999992282,0.000008,0.000014
96.5,0.999995800,0.000004,0.000010
97.0,0.999994359,0.000006,0.000008
97.5,0.999993793,0.000006,0.000014
98.0,0.999988487,0.000012,0.000016
98.5,0.999997714,0.000002,0.000006
99.0,0.999991617,0.000008,0.000012
99.5,0.999996966,0.000003,0.000008
100.0,0.999983920,0.000016,0.000024
100.5,0.999997834,0.000002,0.000005
101.0,0.999988977,0.000011,0.000018
101.5,0.999998030,0.000002,0.000004
102.0,0.999980453,0.000020,0.000034
102.5,0.999997040,0.000003,0.000009
103.0,0.999987853,0.000012,0.000022
103.5,0.999997957,0.000002,0.000006
104.0,0.999979868,0.000020,0.000037
104.5,0.999996227,0.000004,0.000011
105.0,0.999989029,0.000011,0.000020
105.5,0.999997607,0.000002,0.000007
106.0,0.999982655,0.000017,0.000032
106.5,0.999995474,0.000005,0.000012
107.0,0.999992025,0.000008,0.000014
107.5,0.999997070,0.000003,0.000007
108.0,0.999987656,0.000012,0.000022
108.5,0.999994055,0.000006,0.000013
109.0,0.999995372,0.000005,0.000009
109.5,0.999995875,0.000004,0.000007
110.0,0.999992819,0.000007,0.000015
110.5,0.999991265,0.000009,0.000013
111.0,0.999997608,0.000002,0.000006
111.5,0.999993772,0.000006,0.000009
112.0,0.999996449,0.000004,0.000009
112.5,0.999987335,0.000013,0.000017
113.0,0.999998187,0.000002,0.000004
113.5,0.999991312,0.000009,0.000013
114.0,0.999998063,0.000002,0.000005
114.5,0.999983632,0.000016,0.000027
115.0,0.999997626,0.000002,0.000007
115.5,0.999989681,0.000010,0.000018
116.0,0.999998286,0.000002,0.000004
116.5,0.999981922,0.000018,0.000033
117.0,0.999996822,0.000003,0.000009
117.5,0.999989886,0.000010,0.000018
118.0,0.999998022,0.000002,0.000006
118.5,0.999983208,0.000017,0.000031
119.0,0.999996177,0.000004,0.000011
119.5,0.999991973,0.000008,0.000014
120.0,0.999997655,0.000002,0.000006
120.5,0.999987042,0.000013,0.000024
121.0,0.999995261,0.000005,0.000012
121.5,0.999994923,0.000005,0.000009
122.0,0.999996906,0.000003,0.000006
122.5,0.999991802,0.000008,0.000016
123.0,0.999993313,0.000007,0.000012
123.5,0.999997337,0.000003,0.000006
124.0,0.999995386,0.000005,0.000007
124.5,0.999995721,0.000004,0.000010
125.0,0.999990118,0.000010,0.000013
125.5,0.999998356,0.000002,0.000004
126.0,0.999993260,0.000007,0.000009
126.5,0.999997879,0.000002,0.000006
127.0,0.999986516,0.000013,0.000021
127.5,0.999998105,0.000002,0.000005
128.0,0.999991404,0.000009,0.000014
128.5,0.999998486,0.000002,0.000003
129.0,0.999984066,0.000016,0.000028
129.5,0.999997357,0.000003,0.000008
130.0,0.999990867,0.000009,0.000016
130.5,0.999998350,0.000002,0.000005
131.0,0.999984070,0.000016,0.000030
131.5,0.999996717,0.000003,0.000010
132.0,0.999992092,0.000008,0.000014
132.5,0.999998065,0.000002,0.000005
133.0,0.999986694,0.000013,0.000025
133.5,0.999996081,0.000004,0.000011
134.0,0.999994522,0.000005,0.000009
134.5,0.999997598,0.000002,0.000005
135.0,0.999990838,0.000009,0.000016
135.5,0.999994783,0.000005,0.000011
136.0,0.999996953,0.000003,0.000007
136.5,0.999996563,0.000003,0.000006
137.0,0.999994841,0.000005,0.000011
137.5,0.999992330,0.000008,0.000011
138.0,0.999998345,0.000002,0.000004
138.5,0.999994846,0.000005,0.000007
139.0,0.999997479,0.000003,0.000007
139.5,0.999989071,0.000011,0.000015
140.0,0.999998462,0.000002,0.000004
140.5,0.999992988,0.000007,0.000011
141.0,0.999998538,0.000001,0.000004
141.5,0.999986234,0.000014,0.000023
142.0,0.999997841,0.000002,0.000006
142.5,0.999991942,0.000008,0.000014
143.0,0.999998605,0.000001,0.000004
143.5,0.999985214,0.000015,0.000027
144.0,0.999997177,0.000003,0.000008
144.5,0.999992398,0.000008,0.000014
145.0,0.999998376,0.000002,0.000005
145.5,0.999986660,0.000013,0.000025
146.0,0.999996655,0.000003,0.000010
146.5,0.999994228,0.000006,0.000010
147.0,0.999998063,0.000002,0.000005
147.5,0.999990017,0.000010,0.000018
148.0,0.999995813,0.000004,0.000010
148.5,0.999996514,0.000003,0.000007
149.0,0.999997395,0.000003,0.000005
149.5,0.999993884,0.000006,0.000012
150.0,0.999994034,0.000006,0.000010
150.5,0.999998177,0.000002,0.000005
151.0,0.999996097,0.000004,0.000005
151.5,0.999996885,0.000003,0.000008
152.0,0.999991269,0.000009,0.000012
152.5,0.999998678,0.000001,0.000003
153.0,0.999994400,0.000006,0.000008
153.5,0.999998419,0.000002,0.000004
154.0,0.999988349,0.000012,0.000019
154.5,0.999998266,0.000002,0.000005
155.0,0.999993062,0.000007,0.000012
155.5,0.999998775,0.000001,0.000003
156.0,0.999986588,0.000013,0.000024
156.5,0.999997601,0.000002,0.000007
157.0,0.999992883,0.000007,0.000013
157.5,0.999998626,0.000001,0.000004
158.0,0.999986955,0.000013,0.000024
158.5,0.999997089,0.000003,0.000009
159.0,0.999994082,0.000006,0.000011
159.5,0.999998388,0.000002,0.000004
160.0,0.999989415,0.000011,0.000019
160.5,0.999996521,0.000003,0.000009
161.0,0.999996082,0.000004,0.000007
161.5,0.999997967,0.000002,0.000004
162.0,0.999992931,0.000007,0.000013
162.5,0.999995302,0.000005,0.000009
163.0,0.999997885,0.000002,0.000005
163.5,0.999997049,0.000003,0.000005
164.0,0.999996133,0.000004,0.000009
164.5,0.999993098,0.000007,0.000010
165.0,0.999998744,0.000001,0.000003
165.5,0.999995614,0.000004,0.000006
166.0,0.999998119,0.000002,0.000005
166.5,0.999990334,0.000010,0.000014
167.0,0.999998609,0.000001,0.000004
167.5,0.999994177,0.000006,0.000009
168.0,0.999998838,0.000001,0.000003
168.5,0.999988117,0.000012,0.000020
169.0,0.999998002,0.000002,0.000006
169.5,0.999993518,0.000006,0.000011
170.0,0.999998829,0.000001,0.000003
170.5,0.999987567,0.000012,0.000023
171.0,0.999997456,0.000003,0.000008
171.5,0.999994109,0.000006,0.000011
172.0,0.999998633,0.000001,0.000004
172.5,0.999989085,0.000011,0.000020
173.0,0.999997016,0.000003,0.000008
173.5,0.999995712,0.000004,0.000007
174.0,0.999998356,0.000002,0.000004
174.5,0.999992064,0.000008,0.000014
175.0,0.999996213,0.000004,0.000009
175.5,0.999997514,0.000002,0.000005
176.0,0.999997745,0.000002,0.000004
176.5,0.999995280,0.000005,0.000010
177.0,0.999994559,0.000005,0.000009
177.5,0.999998667,0.000001,0.000003
178.0,0.999996616,0.000003,0.000005
178.5,0.999997643,0.000002,0.000006
179.0,0.999992124,0.000008,0.000010
179.5,0.999998849,0.000001,0.000003
180.0,0.999995234,0.000005,0.000007
180.5,0.999998766,0.000001,0.000003
181.0,0.999989714,0.000010,0.000017
181.5,0.999998375,0.000002,0.000005
182.0,0.999994263,0.000006,0.000010
182.5,0.999998973,0.000001,0.000002
183.0,0.999988450,0.000012,0.000021
183.5,0.999997799,0.000002,0.000007
184.0,0.999994311,0.000006,0.000010
184.5,0.999998831,0.000001,0.000003
185.0,0.999989057,0.000011,0.000020
185.5,0.999997382,0.000003,0.000008
186.0,0.999995452,0.000005,0.000008
186.5,0.999998627,0.000001,0.000004
187.0,0.999991359,0.000009,0.000016
187.5,0.999996850,0.000003,0.000008
188.0,0.999997115,0.000003,0.000005
188.5,0.999998236,0.000002,0.000004
189.0,0.999994393,0.000006,0.000010
189.5,0.999995683,0.000004,0.000008
190.0,0.999998465,0.000002,0.000004
190.5,0.999997407,0.000003,0.000004
191.0,0.999997012,0.000003,0.000007
191.5,0.999993673,0.000006,0.000008
192.0,0.999998970,0.000001,0.000002
192.5,0.999996188,0.000004,0.000005
193.0,0.999998544,0.000001,0.000004
193.5,0.999991295,0.000009,0.000013
194.0,0.999998697,0.000001,0.000004
194.5,0.999995063,0.000005,0.000008
195.0,0.999999041,0.000001,0.000002
195.5,0.999989545,0.000010,0.000018
196.0,0.999998134,0.000002,0.000005
196.5,0.999994675,0.000005,0.000009
197.0,0.999998994,0.000001,0.000003
197.5,0.999989332,0.000011,0.000020
198.0,0.999997685,0.000002,0.000007
