T,AGF,Avg_Leakage,Unitary_Error
1.350000000000000000e+01,9.999785943945548317e-01,2.140520511317856034e-05,4.857273122538252608e-05
1.400000000000000000e+01,9.999884308283888412e-01,1.156909498201130759e-05,2.578626745630696604e-05
1.450000000000000000e+01,9.999757077888560275e-01,2.429168739764842044e-05,5.776842577387419908e-05
1.500000000000000000e+01,9.999835331594928434e-01,1.646665713328498981e-05,4.070189336946583580e-05
1.550000000000000000e+01,9.999836876856728063e-01,1.631209414515444323e-05,4.139504005562510969e-05
1.600000000000000000e+01,9.999859382502336302e-01,1.406159406605600459e-05,3.697874881281038029e-05
1.650000000000000000e+01,9.999818186429205724e-01,1.818106763792903813e-05,4.868494132725942336e-05
1.700000000000000000e+01,9.999799117817047556e-01,2.008783914150824579e-05,5.397629465386799552e-05
1.750000000000000000e+01,9.999882565459354833e-01,1.174333367176538800e-05,3.316254488039405146e-05
1.800000000000000000e+01,9.999835392148250790e-01,1.646052308920675777e-05,4.502197953848430245e-05
1.850000000000000000e+01,9.999872060249590522e-01,1.279382176480603484e-05,3.722519443249971971e-05
1.900000000000000000e+01,9.999772677501528317e-01,2.273177402487003285e-05,5.994266644870904770e-05
1.950000000000000000e+01,9.999915221371200591e-01,8.477791018729474715e-06,2.338396333412262607e-05
2.000000000000000000e+01,9.999821061827089963e-01,1.789353669387483414e-05,4.619243919257165487e-05
2.050000000000000000e+01,9.999910690408631009e-01,8.930879397822666377e-06,2.467360771651883056e-05
2.100000000000000000e+01,9.999762147276705093e-01,2.378482011258786777e-05,5.794683237503317486e-05
2.150000000000000000e+01,9.999930186270958865e-01,6.981315182175151790e-06,1.505011595304139860e-05
2.200000000000000000e+01,9.999820671144998840e-01,1.793263535027067590e-05,4.183139968327864722e-05
2.250000000000000000e+01,9.999930954905364988e-01,6.904453525191645014e-06,1.497411933959469366e-05
2.300000000000000000e+01,9.999769913642623242e-01,2.300822284781456339e-05,5.142233374633153886e-05
2.350000000000000000e+01,9.999927182737297082e-01,7.281674726966613775e-06,1.584586775393859170e-05
2.400000000000000000e+01,9.999834547589966371e-01,1.654502527398404865e-05,3.572195330603378238e-05
2.450000000000000000e+01,9.999933630093386094e-01,6.636947106591906120e-06,1.386903099609426704e-05
2.500000000000000000e+01,9.999793906994319803e-01,2.060894738725727038e-05,4.452909481500455513e-05
2.550000000000000000e+01,9.999909605081722663e-01,9.039452348175158747e-06,1.700661601722330829e-05
2.600000000000000000e+01,9.999859274590201519e-01,1.407238301490143506e-05,3.067075933116392150e-05
2.650000000000000000e+01,9.999922950795244736e-01,7.704889088577804301e-06,1.589982779692800108e-05
2.700000000000000000e+01,9.999828957386526218e-01,1.710401595614308157e-05,3.899178248389922885e-05
2.750000000000000000e+01,9.999883582111575020e-01,1.164170820655563432e-05,2.702131391529860593e-05
2.800000000000000000e+01,9.999889120064929804e-01,1.108790041676188665e-05,2.676319719197017832e-05
2.850000000000000000e+01,9.999905237906550060e-01,9.476146662801276932e-06,2.364392681886151593e-05
2.900000000000000000e+01,9.999868142062340315e-01,1.318565065902554956e-05,3.376568019652914643e-05
2.950000000000000000e+01,9.999856363761612243e-01,1.436343792660110807e-05,3.733231363467481856e-05
3.000000000000000000e+01,9.999917529076534084e-01,8.247038040504195422e-06,2.241749270925907922e-05
3.050000000000000000e+01,9.999887263302659202e-01,1.127354913380007595e-05,3.026373599390730362e-05
3.100000000000000000e+01,9.999904427166337317e-01,9.557202512638918179e-06,2.713375983365295951e-05
3.150000000000000000e+01,9.999834738215984675e-01,1.652592203718605823e-05,4.331365676957243949e-05
3.200000000000000000e+01,9.999938692021551612e-01,6.130761289802055813e-06,1.679983162938825103e-05
3.250000000000000000e+01,9.999874817126839233e-01,1.251814673522422261e-05,3.251049811980877280e-05
3.300000000000000000e+01,9.999932163980185251e-01,6.783556593142892055e-06,1.908173895848186419e-05
3.350000000000000000e+01,9.999823718759019986e-01,1.762787540501853378e-05,4.338786244528769487e-05
3.400000000000000000e+01,9.999948745119746629e-01,5.125457124915966389e-06,1.131723164116138491e-05
3.450000000000000000e+01,9.999871545978893383e-01,1.284527767322907188e-05,3.037144219231180386e-05
3.500000000000000000e+01,9.999948060436519848e-01,5.193925417645850473e-06,1.190899372383036336e-05
3.550000000000000000e+01,9.999825644281775672e-01,1.743535019749220538e-05,3.930790629458336127e-05
3.600000000000000000e+01,9.999946524056874120e-01,5.347564905944235392e-06,1.195525680985909389e-05
3.650000000000000000e+01,9.999878424788960496e-01,1.215741434032469037e-05,2.619858321994961159e-05
3.700000000000000000e+01,9.999951645166701431e-01,4.835457966284595344e-06,1.042790122807168984e-05
3.750000000000000000e+01,9.999839983159301005e-01,1.600148715788507481e-05,3.415357228553350666e-05
3.800000000000000000e+01,9.999933560552068945e-01,6.643922504601107448e-06,1.188862964895953667e-05
3.850000000000000000e+01,9.999893805679755943e-01,1.061934834969968655e-05,2.239233746892388410e-05
3.900000000000000000e+01,9.999945027679251197e-01,5.497215072758354637e-06,1.041563401860123861e-05
3.950000000000000000e+01,9.999863696875017638e-01,1.363016340838463236e-05,2.986440348640151399e-05
4.000000000000000000e+01,9.999913582314812199e-01,8.641731292280407928e-06,1.862830293097861301e-05
4.050000000000000000e+01,9.999914064747837950e-01,8.593472653029010644e-06,1.963216112677024228e-05
4.100000000000000000e+01,9.999932184205324592e-01,6.781552548351665877e-06,1.585411016657989336e-05
4.150000000000000000e+01,9.999892112377206654e-01,1.078867047074605345e-05,2.623341930707567826e-05
4.200000000000000000e+01,9.999891630414012855e-01,1.083686114269899470e-05,2.709923569699235202e-05
4.250000000000000000e+01,9.999934563571223345e-01,6.543611752535261061e-06,1.697486902929590258e-05
4.300000000000000000e+01,9.999917914815921183e-01,8.208457803304813893e-06,2.152140732558649461e-05
4.350000000000000000e+01,9.999920001189677166e-01,7.999827951715721142e-06,2.191634702009004343e-05
4.400000000000000000e+01,9.999872820258357553e-01,1.271781939121696681e-05,3.312672776289993237e-05
